90-Day Content Calendar - Dr. Atul Madaan,,,,,,,,,,,,,,
Week,Theme,Date,Day,Channel,Format,Pillar,Topic,Hook (first line),Hashtags,CTA,Length,Post Window,Status,Notes
4,Therapy Decision Tree,,Tue,Instagram,Carousel,P2,Inside an OT session,"OT (occupational therapy) - naam confusing, kaam clear. Yahan dekho.",#autism #autismindia #occupationaltherapy #sensory #ludhiana,Save.,8–10 slides,7–9 PM IST,Planned,"Decision-tree style. Slide 1 = hook, slide 9 = CTA."
4,Therapy Decision Tree,,Wed,Instagram,Reel,P3,Sensory overload in public - first response,"Market me bachha ""tantrum"" kar raha hai? Ye sensory overload bhi ho sakta hai.",#autism #autismindia #sensory #autismparents #ludhiana,Save. Share.,15–30 sec,8–10 AM IST,Planned,Pattern-interrupt opener. Repurpose as YT Short Thu.
4,Therapy Decision Tree,,Thu,Instagram,Reel,P5,Special school vs mainstream,Special school ya regular school? Decision kaise lein.,#autism #autismindia #school #autismparents #ludhiana,Save.,15–30 sec,7–9 PM IST,Planned,Practical/pathway content. Strong save signal.
4,Therapy Decision Tree,,Fri,Instagram,Carousel,P4,Autistic burnout - the real condition,"Autistic burnout - sirf thakaan nahi. Kya hai, kaise pehchaane.",#autism #autismadults #burnout #masking #adultautism,Save.,8–10 slides,7–9 PM IST,Planned,Late-recognised audience - highest-save pillar. 9 slides ideal.
4,Therapy Decision Tree,,Sat,Instagram,Reel,P1,"Joint attention - what it is, why it matters",Joint attention - ye ek shabd autism diagnosis me sabse important hai.,#autism #autismindia #earlysigns #pediatrics #ludhiana,Save. Comment 🌱 to get the joint-attention checklist.,15–30 sec,11 AM – 1 PM IST,Planned,Lighter / shareable. Repurpose as YT Short Sun.
4,Therapy Decision Tree,,Sat,YouTube,Long-form,P3,Stimming - Stop Trying to Stop It (Here's What to Do Instead),Stimming ko stop karne ki koshish chhodo. Yahan asli plan hai.,-,Subscribe + save the playlist,6–12 min,Anytime,Planned,Anchor for Week 3 hooks.
4,Therapy Decision Tree,,Sun,Instagram,Reel,-,Week 4 Q&A - DM se aaye sabse common 3 sawaal,3 sawaal jo is hafte DM me sabse zyada aaye. Yahan jawaab.,#autism #autismindia #autismparents #qna #ludhiana,DM apna sawaal next week ke video ke liye.,30–45 sec,Afternoon,Planned,Conversational. Builds DM loop.
4,Therapy Decision Tree,,Mon+1,YouTube,Short,P1,"(Repurpose) Joint attention - what it is, why it matters",Joint attention - ye ek shabd autism diagnosis me sabse important hai.,#autism #autismindia #shorts #autismawareness,Full video pinned. Subscribe.,15–35 sec,Anytime,Planned,Repurposed from Mon Reel. Loop ending into opening for replay boost.
4,Therapy Decision Tree,,Wed+1,YouTube,Short,P3,(Repurpose) Sensory overload in public - first response,"Market me bachha ""tantrum"" kar raha hai? Ye sensory overload bhi ho sakta hai.",#autism #autismindia #shorts #autismawareness,Full video pinned. Subscribe.,15–35 sec,Anytime,Planned,Repurposed from Wed Reel. Loop ending into opening for replay boost.
4,Therapy Decision Tree,,Sat+1,YouTube,Short,P1,"(Repurpose) Joint attention - what it is, why it matters",Joint attention - ye ek shabd autism diagnosis me sabse important hai.,#autism #autismindia #shorts #autismawareness,Full video pinned. Subscribe.,15–35 sec,Anytime,Planned,Repurposed from Sat Reel. Loop ending into opening for replay boost.
5,Late-Recognised Autism (Adults),,Mon,Instagram,Reel,P1,Pointing milestone explained,12 mahine pe nahin point karta? Ye normal nahi hai - yahan kyun.,#autism #autismindia #autismparents #earlydiagnosis #ludhiana,Save. Send to your paediatrician.,15–30 sec,8–10 AM IST,Planned,"Voiceover in Hindi, captions in English. Repurpose as YT Short Tue."
5,Late-Recognised Autism (Adults),,Tue,Instagram,Carousel,P2,PECS - picture exchange explained,Non-speaking bachhe ke liye PECS - ek poori communication system.,#autism #autismindia #aac #pecs #ludhiana,"Save. DM ""PECS"" for the starter kit.",8–10 slides,7–9 PM IST,Planned,"Decision-tree style. Slide 1 = hook, slide 9 = CTA."
5,Late-Recognised Autism (Adults),,Wed,Instagram,Reel,P3,Sound sensitivity at home,"Pressure cooker, mixer, bartan - yahan sound sensitivity kaise manage karein.",#autism #autismindia #sensory #autismparents #ludhiana,Save.,15–30 sec,8–10 AM IST,Planned,Pattern-interrupt opener. Repurpose as YT Short Thu.
5,Late-Recognised Autism (Adults),,Thu,Instagram,Reel,P5,Finding a good therapist in India,5 sawaal jo aapko therapist hire karne se pehle puchne chahiye.,#autism #autismindia #autismtherapy #autismparents #ludhiana,Save.,15–30 sec,7–9 PM IST,Planned,Practical/pathway content. Strong save signal.
5,Late-Recognised Autism (Adults),,Fri,Instagram,Carousel,P4,AuDHD - autism + ADHD together,"AuDHD - naya term, asli condition. Dono ek saath kaise hote hain.",#autism #adhd #audhd #neurodivergent #adultautism,Save.,8–10 slides,7–9 PM IST,Planned,Late-recognised audience - highest-save pillar. 9 slides ideal.
5,Late-Recognised Autism (Adults),,Sat,Instagram,Reel,P3,Sound sensitivity at home,"Pressure cooker, mixer, bartan - yahan sound sensitivity kaise manage karein.",#autism #autismindia #sensory #autismparents #ludhiana,Save.,15–30 sec,11 AM – 1 PM IST,Planned,Lighter / shareable. Repurpose as YT Short Sun.
5,Late-Recognised Autism (Adults),,Sat,YouTube,Long-form,P4,Adult Autism in India - A Late-Diagnosis Walkthrough,30+ adults jo abhi autism realise kar rahe hain - pura walkthrough.,-,Subscribe + save the playlist,6–12 min,Anytime,Planned,Long-form anchor for Week 5.
5,Late-Recognised Autism (Adults),,Sun,Instagram,Reel,-,Week 5 Q&A - DM se aaye sabse common 3 sawaal,3 sawaal jo is hafte DM me sabse zyada aaye. Yahan jawaab.,#autism #autismindia #autismparents #qna #ludhiana,DM apna sawaal next week ke video ke liye.,30–45 sec,Afternoon,Planned,Conversational. Builds DM loop.
5,Late-Recognised Autism (Adults),,Mon+1,YouTube,Short,P1,(Repurpose) Pointing milestone explained,12 mahine pe nahin point karta? Ye normal nahi hai - yahan kyun.,#autism #autismindia #shorts #autismawareness,Full video pinned. Subscribe.,15–35 sec,Anytime,Planned,Repurposed from Mon Reel. Loop ending into opening for replay boost.
5,Late-Recognised Autism (Adults),,Wed+1,YouTube,Short,P3,(Repurpose) Sound sensitivity at home,"Pressure cooker, mixer, bartan - yahan sound sensitivity kaise manage karein.",#autism #autismindia #shorts #autismawareness,Full video pinned. Subscribe.,15–35 sec,Anytime,Planned,Repurposed from Wed Reel. Loop ending into opening for replay boost.
5,Late-Recognised Autism (Adults),,Sat+1,YouTube,Short,P3,(Repurpose) Sound sensitivity at home,"Pressure cooker, mixer, bartan - yahan sound sensitivity kaise manage karein.",#autism #autismindia #shorts #autismawareness,Full video pinned. Subscribe.,15–35 sec,Anytime,Planned,Repurposed from Sat Reel. Loop ending into opening for replay boost.
6,School & Education Pathway,,Mon,Instagram,Reel,P1,Language regression after age 1,"""Pehle bolta tha, ab band kar diya"" - language regression kya hota hai.",#autism #autismindia #speechdelay #autismparents #ludhiana,"Save. DM ""regression"" for the early-action plan.",15–30 sec,8–10 AM IST,Planned,"Voiceover in Hindi, captions in English. Repurpose as YT Short Tue."
6,School & Education Pathway,,Tue,Instagram,Carousel,P2,AAC devices for non-speaking kids,"AAC - ye sirf ""tab"" nahi hai. Ye aapke bachhe ki awaaz hai.",#autism #autismindia #aac #nonspeaking #ludhiana,Save.,8–10 slides,7–9 PM IST,Planned,"Decision-tree style. Slide 1 = hook, slide 9 = CTA."
6,School & Education Pathway,,Wed,Instagram,Reel,P3,Texture/food sensory issues,"Bachha sirf 5 cheezein khata hai? Ye sensory issue ho sakta hai, ziddi nahi.",#autism #autismindia #foodsensitivity #autismparents #ludhiana,Save.,15–30 sec,8–10 AM IST,Planned,Pattern-interrupt opener. Repurpose as YT Short Thu.
6,School & Education Pathway,,Thu,Instagram,Reel,P5,"Government schemes - Niramaya, Sugamya",Niramaya insurance + Sugamya scheme - autistic bachhe ke parents ke liye.,#autism #autismindia #government #niramaya #ludhiana,"Save. DM ""scheme"" for links.",15–30 sec,7–9 PM IST,Planned,Practical/pathway content. Strong save signal.
6,School & Education Pathway,,Fri,Instagram,Carousel,P4,Special interests in adults,"Adults me ""special interest"" - ye obsession nahi, ye strength hai.",#autism #autismadults #neurodivergent #adultautism #audhd,Save.,8–10 slides,7–9 PM IST,Planned,Late-recognised audience - highest-save pillar. 9 slides ideal.
6,School & Education Pathway,,Sat,Instagram,Reel,P1,Language regression after age 1,"""Pehle bolta tha, ab band kar diya"" - language regression kya hota hai.",#autism #autismindia #speechdelay #autismparents #ludhiana,"Save. DM ""regression"" for the early-action plan.",15–30 sec,11 AM – 1 PM IST,Planned,Lighter / shareable. Repurpose as YT Short Sun.
6,School & Education Pathway,,Sat,YouTube,Long-form,P5,"RCI Certificate Step-by-Step - Documents, Forms, Timelines","RCI certificate ka full process - kya documents, kahan jaayein.",-,Subscribe + save the playlist,6–12 min,Anytime,Planned,Anchor for Week 6. Include checklist download.
6,School & Education Pathway,,Sun,Instagram,Reel,-,Week 6 Q&A - DM se aaye sabse common 3 sawaal,3 sawaal jo is hafte DM me sabse zyada aaye. Yahan jawaab.,#autism #autismindia #autismparents #qna #ludhiana,DM apna sawaal next week ke video ke liye.,30–45 sec,Afternoon,Planned,Conversational. Builds DM loop.
6,School & Education Pathway,,Mon+1,YouTube,Short,P1,(Repurpose) Language regression after age 1,"""Pehle bolta tha, ab band kar diya"" - language regression kya hota hai.",#autism #autismindia #shorts #autismawareness,Full video pinned. Subscribe.,15–35 sec,Anytime,Planned,Repurposed from Mon Reel. Loop ending into opening for replay boost.
6,School & Education Pathway,,Wed+1,YouTube,Short,P3,(Repurpose) Texture/food sensory issues,"Bachha sirf 5 cheezein khata hai? Ye sensory issue ho sakta hai, ziddi nahi.",#autism #autismindia #shorts #autismawareness,Full video pinned. Subscribe.,15–35 sec,Anytime,Planned,Repurposed from Wed Reel. Loop ending into opening for replay boost.
6,School & Education Pathway,,Sat+1,YouTube,Short,P1,(Repurpose) Language regression after age 1,"""Pehle bolta tha, ab band kar diya"" - language regression kya hota hai.",#autism #autismindia #shorts #autismawareness,Full video pinned. Subscribe.,15–35 sec,Anytime,Planned,Repurposed from Sat Reel. Loop ending into opening for replay boost.
7,Behaviour Challenges at Home,,Mon,Instagram,Reel,P1,Pretend play at age 2,Age 2 par pretend play nahi karta? Ye ek bada signal hai.,#autism #autismindia #earlysigns #autismparents #ludhiana,Save and share.,15–30 sec,8–10 AM IST,Planned,"Voiceover in Hindi, captions in English. Repurpose as YT Short Tue."
7,Behaviour Challenges at Home,,Tue,Instagram,Carousel,P2,DTT vs NET in ABA,ABA ke andar DTT aur NET - dono kab use hote hain.,#autism #autismindia #abatherapy #autismindia #ludhiana,Save.,8–10 slides,7–9 PM IST,Planned,"Decision-tree style. Slide 1 = hook, slide 9 = CTA."
7,Behaviour Challenges at Home,,Wed,Instagram,Reel,P3,Clothing tags and seams,"""Ye kameez kyu nahi pehnenga?"" - fabric sensitivity asli hai.",#autism #autismindia #sensory #autismparents #ludhiana,Save.,15–30 sec,8–10 AM IST,Planned,Pattern-interrupt opener. Repurpose as YT Short Thu.
7,Behaviour Challenges at Home,,Thu,Instagram,Reel,P5,Diagnosis age - kab karayein?,18 mahine se autism diagnose ho sakta hai. Kab actually karayein.,#autism #autismindia #diagnosis #earlysigns #ludhiana,Save.,15–30 sec,7–9 PM IST,Planned,Practical/pathway content. Strong save signal.
7,Behaviour Challenges at Home,,Fri,Instagram,Carousel,P4,"Late diagnosis at 30, 40 - now what?",40 saal ki umar me autism diagnosis - bahut late hai? Bilkul nahi.,#autism #autismadults #latediagnosis #adultautism #audhd,Save.,8–10 slides,7–9 PM IST,Planned,Late-recognised audience - highest-save pillar. 9 slides ideal.
7,Behaviour Challenges at Home,,Sat,Instagram,Reel,P3,Clothing tags and seams,"""Ye kameez kyu nahi pehnenga?"" - fabric sensitivity asli hai.",#autism #autismindia #sensory #autismparents #ludhiana,Save.,15–30 sec,11 AM – 1 PM IST,Planned,Lighter / shareable. Repurpose as YT Short Sun.
7,Behaviour Challenges at Home,,Sat,YouTube,Long-form,P3,Behaviour at Home - Calming a Meltdown Without Punishing,"Meltdown ke time pe kya karein, kya nahi. Step-by-step.",-,Subscribe + save the playlist,6–12 min,Anytime,Planned,Anchor for Week 7.
7,Behaviour Challenges at Home,,Sun,Instagram,Reel,-,Week 7 Q&A - DM se aaye sabse common 3 sawaal,3 sawaal jo is hafte DM me sabse zyada aaye. Yahan jawaab.,#autism #autismindia #autismparents #qna #ludhiana,DM apna sawaal next week ke video ke liye.,30–45 sec,Afternoon,Planned,Conversational. Builds DM loop.
7,Behaviour Challenges at Home,,Mon+1,YouTube,Short,P1,(Repurpose) Pretend play at age 2,Age 2 par pretend play nahi karta? Ye ek bada signal hai.,#autism #autismindia #shorts #autismawareness,Full video pinned. Subscribe.,15–35 sec,Anytime,Planned,Repurposed from Mon Reel. Loop ending into opening for replay boost.
7,Behaviour Challenges at Home,,Wed+1,YouTube,Short,P3,(Repurpose) Clothing tags and seams,"""Ye kameez kyu nahi pehnenga?"" - fabric sensitivity asli hai.",#autism #autismindia #shorts #autismawareness,Full video pinned. Subscribe.,15–35 sec,Anytime,Planned,Repurposed from Wed Reel. Loop ending into opening for replay boost.
7,Behaviour Challenges at Home,,Sat+1,YouTube,Short,P3,(Repurpose) Clothing tags and seams,"""Ye kameez kyu nahi pehnenga?"" - fabric sensitivity asli hai.",#autism #autismindia #shorts #autismawareness,Full video pinned. Subscribe.,15–35 sec,Anytime,Planned,Repurposed from Sat Reel. Loop ending into opening for replay boost.
8,AuDHD: Autism + ADHD Overlap,,Mon,Instagram,Reel,P1,Stimming in babies vs neurotypical babies,Baby flapping karta hai - ye stimming hai ya normal? Farak yahan.,#autism #autismindia #stimming #autismparents #ludhiana,"Save. DM ""stim"" for the full guide.",15–30 sec,8–10 AM IST,Planned,"Voiceover in Hindi, captions in English. Repurpose as YT Short Tue."
8,AuDHD: Autism + ADHD Overlap,,Tue,Instagram,Carousel,P2,Floortime / DIR approach,"DIR Floortime - ABA se alag, par effective. Kab choose karein.",#autism #autismindia #floortime #dir #ludhiana,Save.,8–10 slides,7–9 PM IST,Planned,"Decision-tree style. Slide 1 = hook, slide 9 = CTA."
8,AuDHD: Autism + ADHD Overlap,,Wed,Instagram,Reel,P3,"Rocking, hand-flapping, spinning - why","Stimming behaviours - ye signal hai, problem nahi. Kya signal?",#autism #autismindia #stimming #autismparents #ludhiana,Save.,15–30 sec,8–10 AM IST,Planned,Pattern-interrupt opener. Repurpose as YT Short Thu.
8,AuDHD: Autism + ADHD Overlap,,Thu,Instagram,Reel,P5,Multiple opinions - when needed,Doosre doctor ki opinion lena galat nahi. Kab zaroori hai.,#autism #autismindia #diagnosis #autismparents #ludhiana,Save.,15–30 sec,7–9 PM IST,Planned,Practical/pathway content. Strong save signal.
8,AuDHD: Autism + ADHD Overlap,,Fri,Instagram,Carousel,P4,Sensory issues that never went away,"""Mujhe shor pasand nahi"" - adulthood me bhi sensory issues rehte hain.",#autism #autismadults #sensory #adultautism #audhd,Save.,8–10 slides,7–9 PM IST,Planned,Late-recognised audience - highest-save pillar. 9 slides ideal.
8,AuDHD: Autism + ADHD Overlap,,Sat,Instagram,Reel,P1,Stimming in babies vs neurotypical babies,Baby flapping karta hai - ye stimming hai ya normal? Farak yahan.,#autism #autismindia #stimming #autismparents #ludhiana,"Save. DM ""stim"" for the full guide.",15–30 sec,11 AM – 1 PM IST,Planned,Lighter / shareable. Repurpose as YT Short Sun.
8,AuDHD: Autism + ADHD Overlap,,Sat,YouTube,Long-form,P4,AuDHD - When Autism and ADHD Overlap,"AuDHD - naya naam, purani condition. Diagnose kaise, treat kaise.",-,Subscribe + save the playlist,6–12 min,Anytime,Planned,Anchor for Week 8.
8,AuDHD: Autism + ADHD Overlap,,Sun,Instagram,Reel,-,Week 8 Q&A - DM se aaye sabse common 3 sawaal,3 sawaal jo is hafte DM me sabse zyada aaye. Yahan jawaab.,#autism #autismindia #autismparents #qna #ludhiana,DM apna sawaal next week ke video ke liye.,30–45 sec,Afternoon,Planned,Conversational. Builds DM loop.
8,AuDHD: Autism + ADHD Overlap,,Mon+1,YouTube,Short,P1,(Repurpose) Stimming in babies vs neurotypical babies,Baby flapping karta hai - ye stimming hai ya normal? Farak yahan.,#autism #autismindia #shorts #autismawareness,Full video pinned. Subscribe.,15–35 sec,Anytime,Planned,Repurposed from Mon Reel. Loop ending into opening for replay boost.
