Date,Week,City,Page,Platform,Format,Series,Topic,Exact Hook,Presenter,Guest,Shoot Location,Objective,Funnel,CTA,Collaboration,Live/Event Link,Repurpose Source,Paid Eligible,Clinical Review,Production Status
2026-09-21,Week 3,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Reel / Short,DR ATUL | Before You Assume,Speech Delay vs Autism Spectrum,Before you assume bachha late talker hai... ye 3 social milestones observe kijiye.,Dr. Atul Madaan,None,Consultation Studio,National Authority,TOFU,Download free 12-36M Observation Rubric,No,YT Masterclass 1,Dr. Atul Batch 1,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-09-22,Week 3,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Carousel,DR ATUL | Long Conversation,National Podcast Feature Clip,Why therapy should not become a full-time childhood: Dr. Atul Madaan on KSP.,Dr. Atul Madaan,Mansi Zaveri (Kidsstoppress),Podcast Studio,High Credibility,TOFU,Full 45-min podcast link in bio,Yes (Kidsstoppress),Podcast Episode 1,KSP Studio Shoot,Yes,Approved,Scheduled
2026-09-23,Week 3,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Reel / Short,DR ATUL | Punjab Parent Classroom,Joint Family Advice & Denial in Punjab,Punjab de bujurg kehnde ne: 'Bada hoke aape bol pau' — Parivaar nu pyaar naal samjhao.,Dr. Atul Madaan,None,Ludhiana Kochar Market Office,Regional Trust,MOFU,"Visit Autism Alliance Kochar Market, Ludhiana",No,None,Ludhiana Batch Shoot,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-09-24,Week 3,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Reel / Short,DR ATUL | Expert x Expert,Pediatric Neurologist Clinical Talk,EEG karwayein ya Psychological Assessment? Developmental delay me sahi route.,Dr. Atul Madaan,Dr. Gurpreet Singh Kochar,Ludhiana Clinic,Medical Authority,BOFU,Consultations available in Ludhiana & Delhi,Yes (Dr. Kochar),Live Session 2,Ludhiana Collab Shoot,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-09-25,Week 3,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Reel / Short,DR ATUL | Parents Ask,Overcoming Maternal Guilt,"Doctor sahab, kya meri kisi galti ki wajah se mera bachha communicate nahi kar pa raha?",Dr. Atul Madaan,None,Studio Setup,Deep Empathy,TOFU,Share this with a fighting mother today,No,None,Dr. Atul Batch 2,No,Approved,Scheduled
2026-09-26,Week 3,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Long-Form YouTube + Reel,DR ATUL | The National Parent Classroom,Understanding Gestalt Language,Repeating movie dialogues isn't meaningless; it is Gestalt Language Processing.,Dr. Atul Madaan,Senior Speech Pathologist,Studio Setup,Search Authority,MOFU,Watch full 12-min YouTube masterclass,No,YT Masterclass 5,Dr. Atul Master Batch,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-09-27,Week 3,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Reel / Short,DR ATUL | Sunday AMA,Direct Parent Questions Answered,"Sunday Q&A: 3 questions on sensory overload, biting, and school admission.",Dr. Atul Madaan,None,Studio Setup,Community Trust,MOFU,Drop your question for next Sunday,No,None,Weekly Sunday Batch,No,CLINICAL REVIEW REQUIRED,Scheduled
2026-09-28,Week 4,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Reel / Short,DR ATUL | Before You Assume,Speech Delay vs Autism Spectrum,Before you assume bachha late talker hai... ye 3 social milestones observe kijiye.,Dr. Atul Madaan,None,Consultation Studio,National Authority,TOFU,Download free 12-36M Observation Rubric,No,YT Masterclass 1,Dr. Atul Batch 1,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-09-29,Week 4,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Carousel,DR ATUL | Long Conversation,National Podcast Feature Clip,Why therapy should not become a full-time childhood: Dr. Atul Madaan on KSP.,Dr. Atul Madaan,Mansi Zaveri (Kidsstoppress),Podcast Studio,High Credibility,TOFU,Full 45-min podcast link in bio,Yes (Kidsstoppress),Podcast Episode 1,KSP Studio Shoot,Yes,Approved,Scheduled
2026-09-30,Week 4,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Reel / Short,DR ATUL | Punjab Parent Classroom,Joint Family Advice & Denial in Punjab,Punjab de bujurg kehnde ne: 'Bada hoke aape bol pau' — Parivaar nu pyaar naal samjhao.,Dr. Atul Madaan,None,Ludhiana Kochar Market Office,Regional Trust,MOFU,"Visit Autism Alliance Kochar Market, Ludhiana",No,None,Ludhiana Batch Shoot,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-10-01,Week 4,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Reel / Short,DR ATUL | Expert x Expert,Pediatric Neurologist Clinical Talk,EEG karwayein ya Psychological Assessment? Developmental delay me sahi route.,Dr. Atul Madaan,Dr. Gurpreet Singh Kochar,Ludhiana Clinic,Medical Authority,BOFU,Consultations available in Ludhiana & Delhi,Yes (Dr. Kochar),Live Session 2,Ludhiana Collab Shoot,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-10-02,Week 4,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Reel / Short,DR ATUL | Parents Ask,Overcoming Maternal Guilt,"Doctor sahab, kya meri kisi galti ki wajah se mera bachha communicate nahi kar pa raha?",Dr. Atul Madaan,None,Studio Setup,Deep Empathy,TOFU,Share this with a fighting mother today,No,None,Dr. Atul Batch 2,No,Approved,Scheduled
2026-10-03,Week 4,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Long-Form YouTube + Reel,DR ATUL | The National Parent Classroom,Understanding Gestalt Language,Repeating movie dialogues isn't meaningless; it is Gestalt Language Processing.,Dr. Atul Madaan,Senior Speech Pathologist,Studio Setup,Search Authority,MOFU,Watch full 12-min YouTube masterclass,No,YT Masterclass 5,Dr. Atul Master Batch,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-10-04,Week 4,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Reel / Short,DR ATUL | Sunday AMA,Direct Parent Questions Answered,"Sunday Q&A: 3 questions on sensory overload, biting, and school admission.",Dr. Atul Madaan,None,Studio Setup,Community Trust,MOFU,Drop your question for next Sunday,No,None,Weekly Sunday Batch,No,CLINICAL REVIEW REQUIRED,Scheduled
2026-10-05,Week 5,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Reel / Short,DR ATUL | Before You Assume,Speech Delay vs Autism Spectrum,Before you assume bachha late talker hai... ye 3 social milestones observe kijiye.,Dr. Atul Madaan,None,Consultation Studio,National Authority,TOFU,Download free 12-36M Observation Rubric,No,YT Masterclass 1,Dr. Atul Batch 1,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-10-06,Week 5,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Carousel,DR ATUL | Long Conversation,National Podcast Feature Clip,Why therapy should not become a full-time childhood: Dr. Atul Madaan on KSP.,Dr. Atul Madaan,Mansi Zaveri (Kidsstoppress),Podcast Studio,High Credibility,TOFU,Full 45-min podcast link in bio,Yes (Kidsstoppress),Podcast Episode 1,KSP Studio Shoot,Yes,Approved,Scheduled
2026-10-07,Week 5,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Reel / Short,DR ATUL | Punjab Parent Classroom,Joint Family Advice & Denial in Punjab,Punjab de bujurg kehnde ne: 'Bada hoke aape bol pau' — Parivaar nu pyaar naal samjhao.,Dr. Atul Madaan,None,Ludhiana Kochar Market Office,Regional Trust,MOFU,"Visit Autism Alliance Kochar Market, Ludhiana",No,None,Ludhiana Batch Shoot,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-10-08,Week 5,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Reel / Short,DR ATUL | Expert x Expert,Pediatric Neurologist Clinical Talk,EEG karwayein ya Psychological Assessment? Developmental delay me sahi route.,Dr. Atul Madaan,Dr. Gurpreet Singh Kochar,Ludhiana Clinic,Medical Authority,BOFU,Consultations available in Ludhiana & Delhi,Yes (Dr. Kochar),Live Session 2,Ludhiana Collab Shoot,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-10-09,Week 5,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Reel / Short,DR ATUL | Parents Ask,Overcoming Maternal Guilt,"Doctor sahab, kya meri kisi galti ki wajah se mera bachha communicate nahi kar pa raha?",Dr. Atul Madaan,None,Studio Setup,Deep Empathy,TOFU,Share this with a fighting mother today,No,None,Dr. Atul Batch 2,No,Approved,Scheduled
2026-10-10,Week 5,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Long-Form YouTube + Reel,DR ATUL | The National Parent Classroom,Understanding Gestalt Language,Repeating movie dialogues isn't meaningless; it is Gestalt Language Processing.,Dr. Atul Madaan,Senior Speech Pathologist,Studio Setup,Search Authority,MOFU,Watch full 12-min YouTube masterclass,No,YT Masterclass 5,Dr. Atul Master Batch,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-10-11,Week 5,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Reel / Short,DR ATUL | Sunday AMA,Direct Parent Questions Answered,"Sunday Q&A: 3 questions on sensory overload, biting, and school admission.",Dr. Atul Madaan,None,Studio Setup,Community Trust,MOFU,Drop your question for next Sunday,No,None,Weekly Sunday Batch,No,CLINICAL REVIEW REQUIRED,Scheduled
2026-10-12,Week 6,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Reel / Short,DR ATUL | Before You Assume,Speech Delay vs Autism Spectrum,Before you assume bachha late talker hai... ye 3 social milestones observe kijiye.,Dr. Atul Madaan,None,Consultation Studio,National Authority,TOFU,Download free 12-36M Observation Rubric,No,YT Masterclass 1,Dr. Atul Batch 1,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-10-13,Week 6,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Carousel,DR ATUL | Long Conversation,National Podcast Feature Clip,Why therapy should not become a full-time childhood: Dr. Atul Madaan on KSP.,Dr. Atul Madaan,Mansi Zaveri (Kidsstoppress),Podcast Studio,High Credibility,TOFU,Full 45-min podcast link in bio,Yes (Kidsstoppress),Podcast Episode 1,KSP Studio Shoot,Yes,Approved,Scheduled
2026-10-14,Week 6,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Reel / Short,DR ATUL | Punjab Parent Classroom,Joint Family Advice & Denial in Punjab,Punjab de bujurg kehnde ne: 'Bada hoke aape bol pau' — Parivaar nu pyaar naal samjhao.,Dr. Atul Madaan,None,Ludhiana Kochar Market Office,Regional Trust,MOFU,"Visit Autism Alliance Kochar Market, Ludhiana",No,None,Ludhiana Batch Shoot,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-10-15,Week 6,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Reel / Short,DR ATUL | Expert x Expert,Pediatric Neurologist Clinical Talk,EEG karwayein ya Psychological Assessment? Developmental delay me sahi route.,Dr. Atul Madaan,Dr. Gurpreet Singh Kochar,Ludhiana Clinic,Medical Authority,BOFU,Consultations available in Ludhiana & Delhi,Yes (Dr. Kochar),Live Session 2,Ludhiana Collab Shoot,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-10-16,Week 6,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Reel / Short,DR ATUL | Parents Ask,Overcoming Maternal Guilt,"Doctor sahab, kya meri kisi galti ki wajah se mera bachha communicate nahi kar pa raha?",Dr. Atul Madaan,None,Studio Setup,Deep Empathy,TOFU,Share this with a fighting mother today,No,None,Dr. Atul Batch 2,No,Approved,Scheduled
2026-10-17,Week 6,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Long-Form YouTube + Reel,DR ATUL | The National Parent Classroom,Understanding Gestalt Language,Repeating movie dialogues isn't meaningless; it is Gestalt Language Processing.,Dr. Atul Madaan,Senior Speech Pathologist,Studio Setup,Search Authority,MOFU,Watch full 12-min YouTube masterclass,No,YT Masterclass 5,Dr. Atul Master Batch,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-10-18,Week 6,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Reel / Short,DR ATUL | Sunday AMA,Direct Parent Questions Answered,"Sunday Q&A: 3 questions on sensory overload, biting, and school admission.",Dr. Atul Madaan,None,Studio Setup,Community Trust,MOFU,Drop your question for next Sunday,No,None,Weekly Sunday Batch,No,CLINICAL REVIEW REQUIRED,Scheduled
2026-10-19,Week 7,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Reel / Short,DR ATUL | Before You Assume,Speech Delay vs Autism Spectrum,Before you assume bachha late talker hai... ye 3 social milestones observe kijiye.,Dr. Atul Madaan,None,Consultation Studio,National Authority,TOFU,Download free 12-36M Observation Rubric,No,YT Masterclass 1,Dr. Atul Batch 1,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-10-20,Week 7,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Carousel,DR ATUL | Long Conversation,National Podcast Feature Clip,Why therapy should not become a full-time childhood: Dr. Atul Madaan on KSP.,Dr. Atul Madaan,Mansi Zaveri (Kidsstoppress),Podcast Studio,High Credibility,TOFU,Full 45-min podcast link in bio,Yes (Kidsstoppress),Podcast Episode 1,KSP Studio Shoot,Yes,Approved,Scheduled
2026-10-21,Week 7,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Reel / Short,DR ATUL | Punjab Parent Classroom,Joint Family Advice & Denial in Punjab,Punjab de bujurg kehnde ne: 'Bada hoke aape bol pau' — Parivaar nu pyaar naal samjhao.,Dr. Atul Madaan,None,Ludhiana Kochar Market Office,Regional Trust,MOFU,"Visit Autism Alliance Kochar Market, Ludhiana",No,None,Ludhiana Batch Shoot,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-10-22,Week 7,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Reel / Short,DR ATUL | Expert x Expert,Pediatric Neurologist Clinical Talk,EEG karwayein ya Psychological Assessment? Developmental delay me sahi route.,Dr. Atul Madaan,Dr. Gurpreet Singh Kochar,Ludhiana Clinic,Medical Authority,BOFU,Consultations available in Ludhiana & Delhi,Yes (Dr. Kochar),Live Session 2,Ludhiana Collab Shoot,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-10-23,Week 7,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Reel / Short,DR ATUL | Parents Ask,Overcoming Maternal Guilt,"Doctor sahab, kya meri kisi galti ki wajah se mera bachha communicate nahi kar pa raha?",Dr. Atul Madaan,None,Studio Setup,Deep Empathy,TOFU,Share this with a fighting mother today,No,None,Dr. Atul Batch 2,No,Approved,Scheduled
2026-10-24,Week 7,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Long-Form YouTube + Reel,DR ATUL | The National Parent Classroom,Understanding Gestalt Language,Repeating movie dialogues isn't meaningless; it is Gestalt Language Processing.,Dr. Atul Madaan,Senior Speech Pathologist,Studio Setup,Search Authority,MOFU,Watch full 12-min YouTube masterclass,No,YT Masterclass 5,Dr. Atul Master Batch,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-10-25,Week 7,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Reel / Short,DR ATUL | Sunday AMA,Direct Parent Questions Answered,"Sunday Q&A: 3 questions on sensory overload, biting, and school admission.",Dr. Atul Madaan,None,Studio Setup,Community Trust,MOFU,Drop your question for next Sunday,No,None,Weekly Sunday Batch,No,CLINICAL REVIEW REQUIRED,Scheduled
2026-10-26,Week 8,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Reel / Short,DR ATUL | Before You Assume,Speech Delay vs Autism Spectrum,Before you assume bachha late talker hai... ye 3 social milestones observe kijiye.,Dr. Atul Madaan,None,Consultation Studio,National Authority,TOFU,Download free 12-36M Observation Rubric,No,YT Masterclass 1,Dr. Atul Batch 1,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-10-27,Week 8,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Carousel,DR ATUL | Long Conversation,National Podcast Feature Clip,Why therapy should not become a full-time childhood: Dr. Atul Madaan on KSP.,Dr. Atul Madaan,Mansi Zaveri (Kidsstoppress),Podcast Studio,High Credibility,TOFU,Full 45-min podcast link in bio,Yes (Kidsstoppress),Podcast Episode 1,KSP Studio Shoot,Yes,Approved,Scheduled
2026-10-28,Week 8,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Reel / Short,DR ATUL | Punjab Parent Classroom,Joint Family Advice & Denial in Punjab,Punjab de bujurg kehnde ne: 'Bada hoke aape bol pau' — Parivaar nu pyaar naal samjhao.,Dr. Atul Madaan,None,Ludhiana Kochar Market Office,Regional Trust,MOFU,"Visit Autism Alliance Kochar Market, Ludhiana",No,None,Ludhiana Batch Shoot,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-10-29,Week 8,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Reel / Short,DR ATUL | Expert x Expert,Pediatric Neurologist Clinical Talk,EEG karwayein ya Psychological Assessment? Developmental delay me sahi route.,Dr. Atul Madaan,Dr. Gurpreet Singh Kochar,Ludhiana Clinic,Medical Authority,BOFU,Consultations available in Ludhiana & Delhi,Yes (Dr. Kochar),Live Session 2,Ludhiana Collab Shoot,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-10-30,Week 8,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Reel / Short,DR ATUL | Parents Ask,Overcoming Maternal Guilt,"Doctor sahab, kya meri kisi galti ki wajah se mera bachha communicate nahi kar pa raha?",Dr. Atul Madaan,None,Studio Setup,Deep Empathy,TOFU,Share this with a fighting mother today,No,None,Dr. Atul Batch 2,No,Approved,Scheduled
2026-10-31,Week 8,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Long-Form YouTube + Reel,DR ATUL | The National Parent Classroom,Understanding Gestalt Language,Repeating movie dialogues isn't meaningless; it is Gestalt Language Processing.,Dr. Atul Madaan,Senior Speech Pathologist,Studio Setup,Search Authority,MOFU,Watch full 12-min YouTube masterclass,No,YT Masterclass 5,Dr. Atul Master Batch,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-11-01,Week 8,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Reel / Short,DR ATUL | Sunday AMA,Direct Parent Questions Answered,"Sunday Q&A: 3 questions on sensory overload, biting, and school admission.",Dr. Atul Madaan,None,Studio Setup,Community Trust,MOFU,Drop your question for next Sunday,No,None,Weekly Sunday Batch,No,CLINICAL REVIEW REQUIRED,Scheduled
2026-11-02,Week 9,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Reel / Short,DR ATUL | Before You Assume,Speech Delay vs Autism Spectrum,Before you assume bachha late talker hai... ye 3 social milestones observe kijiye.,Dr. Atul Madaan,None,Consultation Studio,National Authority,TOFU,Download free 12-36M Observation Rubric,No,YT Masterclass 1,Dr. Atul Batch 1,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-11-03,Week 9,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Carousel,DR ATUL | Long Conversation,National Podcast Feature Clip,Why therapy should not become a full-time childhood: Dr. Atul Madaan on KSP.,Dr. Atul Madaan,Mansi Zaveri (Kidsstoppress),Podcast Studio,High Credibility,TOFU,Full 45-min podcast link in bio,Yes (Kidsstoppress),Podcast Episode 1,KSP Studio Shoot,Yes,Approved,Scheduled
2026-11-04,Week 9,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Reel / Short,DR ATUL | Punjab Parent Classroom,Joint Family Advice & Denial in Punjab,Punjab de bujurg kehnde ne: 'Bada hoke aape bol pau' — Parivaar nu pyaar naal samjhao.,Dr. Atul Madaan,None,Ludhiana Kochar Market Office,Regional Trust,MOFU,"Visit Autism Alliance Kochar Market, Ludhiana",No,None,Ludhiana Batch Shoot,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-11-05,Week 9,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Reel / Short,DR ATUL | Expert x Expert,Pediatric Neurologist Clinical Talk,EEG karwayein ya Psychological Assessment? Developmental delay me sahi route.,Dr. Atul Madaan,Dr. Gurpreet Singh Kochar,Ludhiana Clinic,Medical Authority,BOFU,Consultations available in Ludhiana & Delhi,Yes (Dr. Kochar),Live Session 2,Ludhiana Collab Shoot,Yes,CLINICAL REVIEW REQUIRED,Scheduled
