Date,Week,City,Page,Platform,Format,Series,Topic,Exact Hook,Presenter,Guest,Shoot Location,Objective,Funnel,CTA,Collaboration,Live/Event Link,Repurpose Source,Paid Eligible,Clinical Review,Production Status
2026-09-11,Week 1,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Reel / Short,DR ATUL | Parents Ask,Overcoming Maternal Guilt,"Doctor sahab, kya meri kisi galti ki wajah se mera bachha communicate nahi kar pa raha?",Dr. Atul Madaan,None,Studio Setup,Deep Empathy,TOFU,Share this with a fighting mother today,No,None,Dr. Atul Batch 2,No,Approved,Scheduled
2026-09-12,Week 1,Delhi,@autismalliance_delhi,Instagram & Facebook Delhi,Carousel,AA DELHI | The Delhi Parent Circle,Maternal Burnout & Joint Families,Ek maa jo sab sambhal rahi hai... par khud ke liye time nahi hai.,Parent Educator,None,EOK Parent Lounge,Community,MOFU,Register for South Delhi Parent Circle,No,Parent Circle Event,Original EOK Shoot,No,Approved,Scheduled
2026-09-12,Week 1,Faridabad,@autismalliance_faridabad,Instagram (FB via Master Ads),Carousel,AA FARIDABAD | Daily Living & Independence,Sensory Toothbrushing Blueprint,Toothbrush dekhte hi bachha bhaagta hai? 3 gentle oral sensory steps.,Pediatric OT,None,Faridabad Therapy Room,High Utility,TOFU,DM 'BRUSH' for full sensory checklist,Yes (Dr. Garima),None,Faridabad OT Batch,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-09-12,Week 1,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Long-Form YouTube + Reel,DR ATUL | The National Parent Classroom,Understanding Gestalt Language,Repeating movie dialogues isn't meaningless; it is Gestalt Language Processing.,Dr. Atul Madaan,Senior Speech Pathologist,Studio Setup,Search Authority,MOFU,Watch full 12-min YouTube masterclass,No,YT Masterclass 5,Dr. Atul Master Batch,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-09-13,Week 1,Delhi,@autismalliance_delhi,Instagram & Facebook Delhi,Reel,AA DELHI | Multidisciplinary Milestones,Speech and OT Coordination,Speech therapy tabhi kaam karegi jab sensory regulation pehle ho.,Lead OT & SLP,None,EOK Sensory Gym,Conversion,BOFU,Book integrated assessment at East of Kailash,No,None,EOK Batch Shoot,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-09-13,Week 1,Faridabad,@autismalliance_faridabad,Instagram (FB via Master Ads),Reel,AA FARIDABAD | Faridabad Parent Circle,Sector 15A Community Meetup,Faridabad ke families ek sath: Special needs journey me aap akele nahi hain.,Centre Manager,Faridabad Mom Lead,Crown Plaza Activity Hall,Community,BOFU,RSVP for Saturday Parent Meetup at Crown Plaza,Yes (Faridabad Moms),Offline Event 1,Faridabad Event Shoot,No,Approved,Scheduled
2026-09-13,Week 1,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Reel / Short,DR ATUL | Sunday AMA,Direct Parent Questions Answered,"Sunday Q&A: 3 questions on sensory overload, biting, and school admission.",Dr. Atul Madaan,None,Studio Setup,Community Trust,MOFU,Drop your question for next Sunday,No,None,Weekly Sunday Batch,No,CLINICAL REVIEW REQUIRED,Scheduled
2026-09-14,Week 2,Delhi,@autismalliance_delhi,Instagram & Facebook Delhi,Reel,AA DELHI | Ask The Expert,Speech Delay vs Early Signs,"South Delhi parents ask: Mera 2-saal ka bachha bolta nahi, kya ye autism hai?",Dr. Atul Madaan,None,C-3 East of Kailash,Authority,TOFU,DM 'ASSESS' for Delhi evaluation,No,None,Dr. Atul Batch 1,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-09-14,Week 2,Faridabad,@autismalliance_faridabad,Instagram (FB via Master Ads),Reel,AA FARIDABAD | Therapist Shows,Bubble Wand Joint Attention Play,Parent Asked. Therapist Shows: Soap bubbles se eye contact kaise encourage karein.,Faridabad Senior SLP,None,Crown Plaza LG-06,Save-Rate,TOFU,Try this play technique at home today,No,None,Faridabad Batch 1,Yes,Approved,Scheduled
2026-09-14,Week 2,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Reel / Short,DR ATUL | Before You Assume,Speech Delay vs Autism Spectrum,Before you assume bachha late talker hai... ye 3 social milestones observe kijiye.,Dr. Atul Madaan,None,Consultation Studio,National Authority,TOFU,Download free 12-36M Observation Rubric,No,YT Masterclass 1,Dr. Atul Batch 1,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-09-15,Week 2,Delhi,@autismalliance_delhi,Instagram & Facebook Delhi,Carousel,AA DELHI | School Conversations,Classroom Inclusion & RPwD Act,South Delhi private schools me aapke bachhe ke legal rights kya hain?,Special Educator,Delhi School Counselor,EOK Quiet Cabin,Education,MOFU,Save this school rights guide,Yes (Bluebells/Tagore),None,Original EOK Shoot,No,CLINICAL REVIEW REQUIRED,Scheduled
2026-09-15,Week 2,Faridabad,@autismalliance_faridabad,Instagram (FB via Master Ads),Carousel,AA FARIDABAD | Inside The Centre,Crown Plaza Mall LG-06 Tour,Faridabad parents: Therapy ke liye parking ka tension lene ki zaroorat nahi hai.,Faridabad Centre Head,None,Crown Plaza Basement & LG-06,Familiarity,MOFU,Visit LG-06 Crown Plaza Mall Sector 15A,No,None,Faridabad Walkthrough,Yes,Approved,Scheduled
2026-09-15,Week 2,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Carousel,DR ATUL | Long Conversation,National Podcast Feature Clip,Why therapy should not become a full-time childhood: Dr. Atul Madaan on KSP.,Dr. Atul Madaan,Mansi Zaveri (Kidsstoppress),Podcast Studio,High Credibility,TOFU,Full 45-min podcast link in bio,Yes (Kidsstoppress),Podcast Episode 1,KSP Studio Shoot,Yes,Approved,Scheduled
2026-09-16,Week 2,Delhi,@autismalliance_delhi,Instagram & Facebook Delhi,Reel,AA DELHI | Inside EOK,Sensory Gym Platform Swing Tour,South Delhi ke Main Road par ek aisi space jahan sensory overload calm hota hai.,Senior OT,None,EOK Sensory Gym,Familiarity,MOFU,Visit C-3 East of Kailash Main Road,No,None,EOK B-Roll Batch,Yes,Approved,Scheduled
2026-09-16,Week 2,Faridabad,@autismalliance_faridabad,Instagram (FB via Master Ads),Reel,AA FARIDABAD | One Activity Many Skills,Kitchen Daal Sensory Bowl,Kitchen ki daal aur spoons se bachhe ka sitting tolerance kaise badhayein.,Senior OT,None,Faridabad Activity Room,Utility,TOFU,Save this kitchen sensory routine,No,None,Faridabad Batch Shoot,No,Approved,Scheduled
2026-09-16,Week 2,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Reel / Short,DR ATUL | Punjab Parent Classroom,Joint Family Advice & Denial in Punjab,Punjab de bujurg kehnde ne: 'Bada hoke aape bol pau' — Parivaar nu pyaar naal samjhao.,Dr. Atul Madaan,None,Ludhiana Kochar Market Office,Regional Trust,MOFU,"Visit Autism Alliance Kochar Market, Ludhiana",No,None,Ludhiana Batch Shoot,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-09-17,Week 2,Delhi,@autismalliance_delhi,Instagram & Facebook Delhi,Reel,AA DELHI | South Delhi Parent Questions,Meltdowns in Select CityWalk Malls,South Delhi ke malls me jab bachha floor par let kar scream kare...,Dr. Atul Madaan,South Delhi Mom Creator,EOK Studio,Empathy,TOFU,Save for your next weekend family outing,Yes (Harpreeth Suri),Live Session 1,Original EOK Shoot,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-09-17,Week 2,Faridabad,@autismalliance_faridabad,Instagram (FB via Master Ads),Reel,AA FARIDABAD | Parent Asked,Faridabad School & Speech Dilemmas,"Sector 14 ke parent ne pucha: 3 saal ka bachha baithta nahi hai, kya karein?",Lead Clinical Supervisor,None,Faridabad Consult Cabin,Problem Solving,MOFU,Call Faridabad desk: +91 9810 578289,No,None,Faridabad Batch 2,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-09-17,Week 2,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Reel / Short,DR ATUL | Expert x Expert,Pediatric Neurologist Clinical Talk,EEG karwayein ya Psychological Assessment? Developmental delay me sahi route.,Dr. Atul Madaan,Dr. Gurpreet Singh Kochar,Ludhiana Clinic,Medical Authority,BOFU,Consultations available in Ludhiana & Delhi,Yes (Dr. Kochar),Live Session 2,Ludhiana Collab Shoot,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-09-18,Week 2,Delhi,@autismalliance_delhi,Instagram & Facebook Delhi,Reel,AA DELHI | Doctor x Therapist,Pediatrician Referral Timeline,Pediatrician OPD checkup ke baad child psychologist kab consult karein?,Dr. Atul Madaan,Senior South Delhi Pediatrician,EOK Studio,Referral Trust,BOFU,Call our East of Kailash desk: 011-26465032,Yes (Apollo/Fortis),None,Doctor Collab Shoot,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-09-18,Week 2,Faridabad,@autismalliance_faridabad,Instagram (FB via Master Ads),Reel,AA FARIDABAD | The Sensory Gym Tour,Vestibular Swings in Action,Ye platform swing sirf jhoola nahi hai; ye bachhe ke balance brain ko train kar raha hai.,Senior OT,None,Crown Plaza Sensory Gym,Education,MOFU,Book sensory profile check in Faridabad,No,None,Faridabad Swings Shoot,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-09-18,Week 2,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Reel / Short,DR ATUL | Parents Ask,Overcoming Maternal Guilt,"Doctor sahab, kya meri kisi galti ki wajah se mera bachha communicate nahi kar pa raha?",Dr. Atul Madaan,None,Studio Setup,Deep Empathy,TOFU,Share this with a fighting mother today,No,None,Dr. Atul Batch 2,No,Approved,Scheduled
2026-09-19,Week 2,Delhi,@autismalliance_delhi,Instagram & Facebook Delhi,Carousel,AA DELHI | The Delhi Parent Circle,Maternal Burnout & Joint Families,Ek maa jo sab sambhal rahi hai... par khud ke liye time nahi hai.,Parent Educator,None,EOK Parent Lounge,Community,MOFU,Register for South Delhi Parent Circle,No,Parent Circle Event,Original EOK Shoot,No,Approved,Scheduled
2026-09-19,Week 2,Faridabad,@autismalliance_faridabad,Instagram (FB via Master Ads),Carousel,AA FARIDABAD | Daily Living & Independence,Sensory Toothbrushing Blueprint,Toothbrush dekhte hi bachha bhaagta hai? 3 gentle oral sensory steps.,Pediatric OT,None,Faridabad Therapy Room,High Utility,TOFU,DM 'BRUSH' for full sensory checklist,Yes (Dr. Garima),None,Faridabad OT Batch,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-09-19,Week 2,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Long-Form YouTube + Reel,DR ATUL | The National Parent Classroom,Understanding Gestalt Language,Repeating movie dialogues isn't meaningless; it is Gestalt Language Processing.,Dr. Atul Madaan,Senior Speech Pathologist,Studio Setup,Search Authority,MOFU,Watch full 12-min YouTube masterclass,No,YT Masterclass 5,Dr. Atul Master Batch,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-09-20,Week 2,Delhi,@autismalliance_delhi,Instagram & Facebook Delhi,Reel,AA DELHI | Multidisciplinary Milestones,Speech and OT Coordination,Speech therapy tabhi kaam karegi jab sensory regulation pehle ho.,Lead OT & SLP,None,EOK Sensory Gym,Conversion,BOFU,Book integrated assessment at East of Kailash,No,None,EOK Batch Shoot,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-09-20,Week 2,Faridabad,@autismalliance_faridabad,Instagram (FB via Master Ads),Reel,AA FARIDABAD | Faridabad Parent Circle,Sector 15A Community Meetup,Faridabad ke families ek sath: Special needs journey me aap akele nahi hain.,Centre Manager,Faridabad Mom Lead,Crown Plaza Activity Hall,Community,BOFU,RSVP for Saturday Parent Meetup at Crown Plaza,Yes (Faridabad Moms),Offline Event 1,Faridabad Event Shoot,No,Approved,Scheduled
2026-09-20,Week 2,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Reel / Short,DR ATUL | Sunday AMA,Direct Parent Questions Answered,"Sunday Q&A: 3 questions on sensory overload, biting, and school admission.",Dr. Atul Madaan,None,Studio Setup,Community Trust,MOFU,Drop your question for next Sunday,No,None,Weekly Sunday Batch,No,CLINICAL REVIEW REQUIRED,Scheduled
2026-09-21,Week 3,Delhi,@autismalliance_delhi,Instagram & Facebook Delhi,Reel,AA DELHI | Ask The Expert,Speech Delay vs Early Signs,"South Delhi parents ask: Mera 2-saal ka bachha bolta nahi, kya ye autism hai?",Dr. Atul Madaan,None,C-3 East of Kailash,Authority,TOFU,DM 'ASSESS' for Delhi evaluation,No,None,Dr. Atul Batch 1,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-09-21,Week 3,Faridabad,@autismalliance_faridabad,Instagram (FB via Master Ads),Reel,AA FARIDABAD | Therapist Shows,Bubble Wand Joint Attention Play,Parent Asked. Therapist Shows: Soap bubbles se eye contact kaise encourage karein.,Faridabad Senior SLP,None,Crown Plaza LG-06,Save-Rate,TOFU,Try this play technique at home today,No,None,Faridabad Batch 1,Yes,Approved,Scheduled
2026-09-21,Week 3,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Reel / Short,DR ATUL | Before You Assume,Speech Delay vs Autism Spectrum,Before you assume bachha late talker hai... ye 3 social milestones observe kijiye.,Dr. Atul Madaan,None,Consultation Studio,National Authority,TOFU,Download free 12-36M Observation Rubric,No,YT Masterclass 1,Dr. Atul Batch 1,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-09-22,Week 3,Delhi,@autismalliance_delhi,Instagram & Facebook Delhi,Carousel,AA DELHI | School Conversations,Classroom Inclusion & RPwD Act,South Delhi private schools me aapke bachhe ke legal rights kya hain?,Special Educator,Delhi School Counselor,EOK Quiet Cabin,Education,MOFU,Save this school rights guide,Yes (Bluebells/Tagore),None,Original EOK Shoot,No,CLINICAL REVIEW REQUIRED,Scheduled
2026-09-22,Week 3,Faridabad,@autismalliance_faridabad,Instagram (FB via Master Ads),Carousel,AA FARIDABAD | Inside The Centre,Crown Plaza Mall LG-06 Tour,Faridabad parents: Therapy ke liye parking ka tension lene ki zaroorat nahi hai.,Faridabad Centre Head,None,Crown Plaza Basement & LG-06,Familiarity,MOFU,Visit LG-06 Crown Plaza Mall Sector 15A,No,None,Faridabad Walkthrough,Yes,Approved,Scheduled
2026-09-22,Week 3,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Carousel,DR ATUL | Long Conversation,National Podcast Feature Clip,Why therapy should not become a full-time childhood: Dr. Atul Madaan on KSP.,Dr. Atul Madaan,Mansi Zaveri (Kidsstoppress),Podcast Studio,High Credibility,TOFU,Full 45-min podcast link in bio,Yes (Kidsstoppress),Podcast Episode 1,KSP Studio Shoot,Yes,Approved,Scheduled
2026-09-23,Week 3,Delhi,@autismalliance_delhi,Instagram & Facebook Delhi,Reel,AA DELHI | Inside EOK,Sensory Gym Platform Swing Tour,South Delhi ke Main Road par ek aisi space jahan sensory overload calm hota hai.,Senior OT,None,EOK Sensory Gym,Familiarity,MOFU,Visit C-3 East of Kailash Main Road,No,None,EOK B-Roll Batch,Yes,Approved,Scheduled
2026-09-23,Week 3,Faridabad,@autismalliance_faridabad,Instagram (FB via Master Ads),Reel,AA FARIDABAD | One Activity Many Skills,Kitchen Daal Sensory Bowl,Kitchen ki daal aur spoons se bachhe ka sitting tolerance kaise badhayein.,Senior OT,None,Faridabad Activity Room,Utility,TOFU,Save this kitchen sensory routine,No,None,Faridabad Batch Shoot,No,Approved,Scheduled
2026-09-23,Week 3,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Reel / Short,DR ATUL | Punjab Parent Classroom,Joint Family Advice & Denial in Punjab,Punjab de bujurg kehnde ne: 'Bada hoke aape bol pau' — Parivaar nu pyaar naal samjhao.,Dr. Atul Madaan,None,Ludhiana Kochar Market Office,Regional Trust,MOFU,"Visit Autism Alliance Kochar Market, Ludhiana",No,None,Ludhiana Batch Shoot,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-09-24,Week 3,Delhi,@autismalliance_delhi,Instagram & Facebook Delhi,Reel,AA DELHI | South Delhi Parent Questions,Meltdowns in Select CityWalk Malls,South Delhi ke malls me jab bachha floor par let kar scream kare...,Dr. Atul Madaan,South Delhi Mom Creator,EOK Studio,Empathy,TOFU,Save for your next weekend family outing,Yes (Harpreeth Suri),Live Session 1,Original EOK Shoot,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-09-24,Week 3,Faridabad,@autismalliance_faridabad,Instagram (FB via Master Ads),Reel,AA FARIDABAD | Parent Asked,Faridabad School & Speech Dilemmas,"Sector 14 ke parent ne pucha: 3 saal ka bachha baithta nahi hai, kya karein?",Lead Clinical Supervisor,None,Faridabad Consult Cabin,Problem Solving,MOFU,Call Faridabad desk: +91 9810 578289,No,None,Faridabad Batch 2,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-09-24,Week 3,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Reel / Short,DR ATUL | Expert x Expert,Pediatric Neurologist Clinical Talk,EEG karwayein ya Psychological Assessment? Developmental delay me sahi route.,Dr. Atul Madaan,Dr. Gurpreet Singh Kochar,Ludhiana Clinic,Medical Authority,BOFU,Consultations available in Ludhiana & Delhi,Yes (Dr. Kochar),Live Session 2,Ludhiana Collab Shoot,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-09-25,Week 3,Delhi,@autismalliance_delhi,Instagram & Facebook Delhi,Reel,AA DELHI | Doctor x Therapist,Pediatrician Referral Timeline,Pediatrician OPD checkup ke baad child psychologist kab consult karein?,Dr. Atul Madaan,Senior South Delhi Pediatrician,EOK Studio,Referral Trust,BOFU,Call our East of Kailash desk: 011-26465032,Yes (Apollo/Fortis),None,Doctor Collab Shoot,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-09-25,Week 3,Faridabad,@autismalliance_faridabad,Instagram (FB via Master Ads),Reel,AA FARIDABAD | The Sensory Gym Tour,Vestibular Swings in Action,Ye platform swing sirf jhoola nahi hai; ye bachhe ke balance brain ko train kar raha hai.,Senior OT,None,Crown Plaza Sensory Gym,Education,MOFU,Book sensory profile check in Faridabad,No,None,Faridabad Swings Shoot,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-09-25,Week 3,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Reel / Short,DR ATUL | Parents Ask,Overcoming Maternal Guilt,"Doctor sahab, kya meri kisi galti ki wajah se mera bachha communicate nahi kar pa raha?",Dr. Atul Madaan,None,Studio Setup,Deep Empathy,TOFU,Share this with a fighting mother today,No,None,Dr. Atul Batch 2,No,Approved,Scheduled
2026-09-26,Week 3,Delhi,@autismalliance_delhi,Instagram & Facebook Delhi,Carousel,AA DELHI | The Delhi Parent Circle,Maternal Burnout & Joint Families,Ek maa jo sab sambhal rahi hai... par khud ke liye time nahi hai.,Parent Educator,None,EOK Parent Lounge,Community,MOFU,Register for South Delhi Parent Circle,No,Parent Circle Event,Original EOK Shoot,No,Approved,Scheduled
2026-09-26,Week 3,Faridabad,@autismalliance_faridabad,Instagram (FB via Master Ads),Carousel,AA FARIDABAD | Daily Living & Independence,Sensory Toothbrushing Blueprint,Toothbrush dekhte hi bachha bhaagta hai? 3 gentle oral sensory steps.,Pediatric OT,None,Faridabad Therapy Room,High Utility,TOFU,DM 'BRUSH' for full sensory checklist,Yes (Dr. Garima),None,Faridabad OT Batch,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-09-26,Week 3,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Long-Form YouTube + Reel,DR ATUL | The National Parent Classroom,Understanding Gestalt Language,Repeating movie dialogues isn't meaningless; it is Gestalt Language Processing.,Dr. Atul Madaan,Senior Speech Pathologist,Studio Setup,Search Authority,MOFU,Watch full 12-min YouTube masterclass,No,YT Masterclass 5,Dr. Atul Master Batch,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-09-27,Week 3,Delhi,@autismalliance_delhi,Instagram & Facebook Delhi,Reel,AA DELHI | Multidisciplinary Milestones,Speech and OT Coordination,Speech therapy tabhi kaam karegi jab sensory regulation pehle ho.,Lead OT & SLP,None,EOK Sensory Gym,Conversion,BOFU,Book integrated assessment at East of Kailash,No,None,EOK Batch Shoot,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-09-27,Week 3,Faridabad,@autismalliance_faridabad,Instagram (FB via Master Ads),Reel,AA FARIDABAD | Faridabad Parent Circle,Sector 15A Community Meetup,Faridabad ke families ek sath: Special needs journey me aap akele nahi hain.,Centre Manager,Faridabad Mom Lead,Crown Plaza Activity Hall,Community,BOFU,RSVP for Saturday Parent Meetup at Crown Plaza,Yes (Faridabad Moms),Offline Event 1,Faridabad Event Shoot,No,Approved,Scheduled
2026-09-27,Week 3,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Reel / Short,DR ATUL | Sunday AMA,Direct Parent Questions Answered,"Sunday Q&A: 3 questions on sensory overload, biting, and school admission.",Dr. Atul Madaan,None,Studio Setup,Community Trust,MOFU,Drop your question for next Sunday,No,None,Weekly Sunday Batch,No,CLINICAL REVIEW REQUIRED,Scheduled
