ID,City,Page,Pillar,Series,Exact_Title,Exact_Hook,Core_Message,Speaker,Shooting_Location,Ideal_Duration,Shots,B_Roll,On_Screen_Text,CTA,Collaboration_Opportunity,Organic_Objective,Paid_Suitability,Clinical_Review_Flag,Repurposing_Opportunity
D-24,Delhi,@autismalliance_delhi,Delhi Content Layer,South Delhi Inclusive Preschools List,South Delhi Inclusive Preschools List,South Delhi me sensory-inclusive nursery schools kaise evaluate karein.,What questions parents should ask pre-school principals regarding student-teacher ratio and calm spaces.,Special Education Lead,EOK Cabin,40s,Educator holding school evaluation checklist,Nursery classroom layout photo,Choosing Inclusive Pre-Schools,DM 'SCHOOL' for evaluation checklist,Bluebells International,High utility,High,Approved,Carousels
D-25,Delhi,@autismalliance_delhi,Delhi Content Layer,The Power of Proprioceptive Heavy Work,The Power of Proprioceptive Heavy Work,Bachha sofa par zor se kyu kudta hai? Heavy work explained.,Joint compression and deep muscle feedback calms an overstimulated nervous system.,Senior OT,EOK Sensory Gym,35s,Therapist pushing heavy peanut ball,Adult hands gently compressing crash pad,Proprioception | Heavy Work Science,Try heavy work activities at home,None,Save-rate,High,CLINICAL REVIEW REQUIRED,OT Reel
D-26,Delhi,@autismalliance_delhi,Delhi Content Layer,Grandparents Disagreeing with Therapy,Grandparents Disagreeing with Therapy,"Jab in-laws kahein 'bachha theek hai, doctors dara rahe hain'...",Compassionate communication scripts for Indian joint family harmony.,Dr. Atul Madaan,EOK Studio,45s,Dr. Atul with warm empathetic tone,Respectful family portrait frame graphic,Navigating Joint Family Skepticism,Share in your family WhatsApp group,Momspresso,Viral share,High,Approved,Podcast short
D-27,Delhi,@autismalliance_delhi,Delhi Content Layer,Visual Schedules: Eliminating Morning Chaos,Visual Schedules: Eliminating Morning Chaos,Subah school van aane se pehle ka rona band karne ka visual schedule trick.,"Using velcro picture cards to sequence brushing, dressing, and breakfast visually.",Special Educator,EOK Cabin,40s,Educator demonstrating velcro morning routine board,Fingers moving card from 'To Do' to 'Done',Visual Schedules | Calm Mornings,DM 'SCHEDULE' for printable cards,Avaz AAC,Save-rate,High,Approved,Free resource
D-28,Delhi,@autismalliance_delhi,Delhi Content Layer,Fine Motor Tongs & Pincer Grasp Game,Fine Motor Tongs & Pincer Grasp Game,Pencil pakadne se pehle bachhe ke haath ki muscles kaise strengthen karein.,Kitchen tongs and pom-pom sorting games that build handwriting grip without worksheets.,Lead OT,EOK Activity Room,35s,Macro close-up of adult hands using wooden tongs,Colored fuzzy pom-poms dropped in egg carton,Fine Motor Handwriting Prep,Save this fine motor game,None,Utility,Medium,Approved,OT Short
D-29,Delhi,@autismalliance_delhi,Delhi Content Layer,De-Escalating Screaming During Car Commutes,De-Escalating Screaming During Car Commutes,South Delhi traffic jam me bachha car me sensory panic me aa jaye toh...,"Car sensory kit: Vibration cushion, sour candy, and deep pressure lap pad.",Senior OT,EOK Studio,35s,OT unpacking a compact car sensory travel bag,Noise reduction headphones and sensory chewelry,Car Commute Sensory Kit,Save for your next family road trip,DELMO,Utility,Medium,Approved,Travel Reel
D-30,Delhi,@autismalliance_delhi,Delhi Content Layer,Autism Alliance Delhi Core Promise,Autism Alliance Delhi Core Promise,Hum sirf bachhe ko therapy nahi dete; hum parents ko confident co-therapist banate hain.,Dr. Atul Madaan explains our founding mission at C-3 East of Kailash Main Road.,Dr. Atul Madaan,EOK Sensory Gym Wide,45s,Dr. Atul walking through vibrant sensory gym,Team of therapists smiling together in background,Autism Alliance Delhi | Our Promise,Visit us at C-3 East of Kailash. Call 011-26465032,All Partners,Brand core,High,Approved,Pinned Reel
F-01,Faridabad,@autismalliance_faridabad,Faridabad Content Layer,Bubble Wand Joint Attention Play,Bubble Wand Joint Attention Play,Parent ne pucha. Therapist dikhate hain: Soap bubbles se eye contact kaise encourage karein.,Wait for the child to look at you before blowing bubbles; builds anticipatory joint engagement.,Faridabad Senior SLP,Crown Plaza LG-06,35s,Therapist holding bubble wand at eye level,Bubbles floating; adult hands waiting patiently,Joint Attention | Bubble Trick,Try this at home today,None,Save-rate,High,Approved,Faridabad Reel
F-02,Faridabad,@autismalliance_faridabad,Faridabad Content Layer,Crown Plaza Mall LG-06 Walkthrough,Crown Plaza Mall LG-06 Walkthrough,Faridabad parents: Therapy ke liye parking ka tension lene ki zaroorat nahi hai.,"Showcasing smooth basement mall parking, elevator, and peaceful lower ground entrance.",Faridabad Centre Head,Crown Plaza Mall Basement & LG-06,40s,"Car entering basement parking, elevator ride down, glass door entry",Clean reception desk with welcoming smiles,Crown Plaza Mall Sector 15A | LG-06,Visit us at Crown Plaza Mall,Voice of Faridabad,Familiarity,High,Approved,GBP Tour
F-03,Faridabad,@autismalliance_faridabad,Faridabad Content Layer,Kitchen Daal & Rajma Sensory Bowl,Kitchen Daal & Rajma Sensory Bowl,Kitchen ki daal aur spoons se bachhe ka sitting tolerance kaise badhayein.,Hiding small animal toys in dried beans builds tactile tolerance and exploratory play.,Senior OT,Faridabad Activity Room,35s,Macro close-up of adult hands burying small toy cow in rajma,Hands digging and smiling,Tactile Sensory Play | Kitchen Bin,Save this kitchen sensory routine,Faridabad Moms,Utility,High,Approved,Instagram Reel
F-04,Faridabad,@autismalliance_faridabad,Faridabad Content Layer,Sector 14 Toddler Sitting Dilemma,Sector 14 Toddler Sitting Dilemma,"Sector 14 ke parent ne pucha: 3 saal ka bachha baithta nahi hai, kya karein?","Sitting tolerance is physical, not obstinacy; core muscle tone and vestibular balance precede sitting.",Lead Clinical Supervisor,Faridabad Consult Cabin,40s,Clinician speaking directly to camera,Therapist guiding child on peanut ball for core strength,Sitting Tolerance | Core Strength First,Call Faridabad desk: +91 9810 578289,None,Lead gen,High,CLINICAL REVIEW REQUIRED,Q&A Clip
F-05,Faridabad,@autismalliance_faridabad,Faridabad Content Layer,Platform Swings in Action,Platform Swings in Action,Ye platform swing sirf jhoola nahi hai; ye bachhe ke balance brain ko train kar raha hai.,Vestibular stimulation on swings reorganizes sensory processing to improve calm focus.,Senior OT,Crown Plaza Sensory Gym,40s,Therapist gently rocking bolster swing,Swing ropes moving smoothly in safe padded gym,Vestibular Therapy | Sensory Swings,Book sensory check in Faridabad,None,Education,High,CLINICAL REVIEW REQUIRED,Gym Tour Reel
F-06,Faridabad,@autismalliance_faridabad,Faridabad Content Layer,Sensory Toothbrushing Blueprint,Sensory Toothbrushing Blueprint,Toothbrush dekhte hi bachha bhaagta hai? 3 gentle oral sensory steps.,Desensitizing gums with silicon finger brush and unflavored toothpaste before bristles.,Pediatric OT,Faridabad Therapy Room,40s,OT demonstrating silicon finger brush on knuckle,Soft bristled toothbrush and unflavored paste,Toothbrushing Without Tears,DM 'BRUSH' for checklist,Dr. Garima Malhotra,Save-rate,High,CLINICAL REVIEW REQUIRED,Collab Reel
F-07,Faridabad,@autismalliance_faridabad,Faridabad Content Layer,Sector 15A Saturday Parent Meetup,Sector 15A Saturday Parent Meetup,Faridabad ke families ek sath: Special needs journey me aap akele nahi hain.,Invitation to our free monthly Parent Classroom at Crown Plaza Mall Sector 15A.,Centre Manager,Crown Plaza Activity Hall,35s,Manager standing in welcoming room setup with chairs,"Tea cups, parent workbook folders on display",Faridabad Parent Circle | Sector 15A,RSVP for Saturday Parent Meetup,Faridabad Moms Group,Event RSVP,High,Approved,Event ad
F-08,Faridabad,@autismalliance_faridabad,Faridabad Content Layer,PECS Picture Exchange in Action,PECS Picture Exchange in Action,Non-verbal bachha apni baat kaise bataye? Picture Exchange demo.,Handing a picture card of 'water' to receive water establishes direct functional communication.,Lead Speech Therapist,Faridabad Speech Cabin,40s,Adult hand trading laminated picture card for cup,Close-up of PECS communication book with velcro,PECS Communication | Functional Voice,Consult our Speech Pathologists in Faridabad,Avaz AAC,Save-rate,High,CLINICAL REVIEW REQUIRED,Therapist demo
F-09,Faridabad,@autismalliance_faridabad,Faridabad Content Layer,Tantrum vs Meltdown in Faridabad Markets,Tantrum vs Meltdown in Faridabad Markets,Faridabad Sector 15 market me agar bachha scream kare: Tantrum ya Meltdown?,Tantrums want an audience and goal; sensory meltdowns are neurological panic requiring quiet.,Lead OT,Faridabad Clinic Room,45s,OT holding comparison graphic chart,Padded quiet calm-down corner demonstration,Meltdown vs Tantrum | Quick Decision,Save this decision chart,Voice of Faridabad,Share-rate,High,CLINICAL REVIEW REQUIRED,Infographic
F-10,Faridabad,@autismalliance_faridabad,Faridabad Content Layer,Apeejay Sector 15 School Preparation,Apeejay Sector 15 School Preparation,Apeejay aur Sector 15 schools me nursery admission readiness tips.,"Supporting self-help skills: Unzipping bags, opening tiffin boxes, and following peer queues.",Special Educator,Faridabad Classroom Cabin,40s,Educator packing a school bag with colorful lunchbox,Child hand unzipping pencil pouch,Nursery Readiness | Self-Help Skills,Visit our Sector 15A centre for readiness,Apeejay School,Utility,High,Approved,School Reel
F-11,Faridabad,@autismalliance_faridabad,Faridabad Content Layer,Crash Pad Heavy Work Demonstration,Crash Pad Heavy Work Demonstration,Bachhe ko bina daante energy channelize kaise karein: Crash pad jump.,Jumping safely onto dense foam crash pads provides proprioceptive regulation without injury.,Senior OT,Faridabad Sensory Gym,35s,Adult therapist falling playfully onto foam crash pad,Dense foam mat closeup and smiling thumbs up,Safe Crashing | Proprioception,Visit our sensory gym at Crown Plaza,None,Familiarity,Medium,CLINICAL REVIEW REQUIRED,Gym Short
F-12,Faridabad,@autismalliance_faridabad,Faridabad Content Layer,Managing Food Textures: Crunchy vs Wet,Managing Food Textures: Crunchy vs Wet,Faridabad mothers dilemma: Bachha roti khata hai par khichdi se ghin karta hai.,Understanding texture consistency; crunchy foods provide predictable sensory oral feedback.,Pediatric OT,Faridabad Activity Table,40s,OT comparing crunchy carrot stick to soft puree,Sensory feeding spoons with ridges,Selective Eating | Oral Sensory,DM 'FOOD' for sensory eating guide,Sarvodaya Hospital,Save-rate,High,CLINICAL REVIEW REQUIRED,Feeding Carousel
F-13,Faridabad,@autismalliance_faridabad,Faridabad Content Layer,Sock Seams and Shoe Struggles in Morning,Sock Seams and Shoe Struggles in Morning,Shoes pehnate waqt bachha kyu rota hai? Tactile foot sensitivity.,Seams inside socks press against sensitive nerve endings; turning socks inside-out provides instant relief.,Senior OT,Faridabad Room,35s,OT turning cotton sock inside out to show flat seam,Comfortable wide-toe barefoot style shoe,Sock Seams | Tactile Defensiveness,Save this simple morning hack,None,Save-rate,High,Approved,Practical tip
F-14,Faridabad,@autismalliance_faridabad,Faridabad Content Layer,Sanitizing Our Sensory Gym Every Morning,Sanitizing Our Sensory Gym Every Morning,Hamara daily hygiene protocol: Every swing and toy sanitized between sessions.,"Showing clinical sterilization of tactile balls, swings, and mats for infant safety.",Faridabad Clinic Supervisor,Crown Plaza Gym,30s,Staff wiping platform swing with medical disinfectant,"Spray bottle, clean microfiber cloth, sparkling room",Clinical Hygiene | 100% Sanitized,Safe care for your child in Faridabad,None,Trust moat,Medium,Approved,Trust Reel
F-15,Faridabad,@autismalliance_faridabad,Faridabad Content Layer,Haircut Panic: Desensitization at Home,Haircut Panic: Desensitization at Home,Barber shop jaane se pehle ghar par 3 haircuts desensitization drills.,Using electric toothbrush vibration on neck to simulate clippers before visiting barber.,Lead OT,Faridabad Cabin,40s,OT holding vibrating toothbrush against hand,Gentle massage towel wrap around shoulders,Haircut Fears | Sensory Desensitization,Save before your next haircut trip,Faridabad Moms,Save-rate,High,CLINICAL REVIEW REQUIRED,Practical Reel
F-16,Faridabad,@autismalliance_faridabad,Faridabad Content Layer,Faridabad Joint Family Evening Routine,Faridabad Joint Family Evening Routine,Joint family me shaam ke shor ke beech bachhe ko calm kaise karein.,Designating a 20-minute low-light quiet room routine before dinner to prevent evening meltdown.,Family Counselor,Faridabad Parent Room,40s,Counselor adjusting soft yellow lamp,Weighted lap pad on rocking chair,Evening Calm | Multi-Gen Families,Call Faridabad desk: +91 9810 578289,None,Empathy,Medium,Approved,Story Reel
F-17,Faridabad,@autismalliance_faridabad,Faridabad Content Layer,The 3-Second Rule in Speech Therapy,The 3-Second Rule in Speech Therapy,Bachhe se sawaal puch kar 3 second count kijiye: Magic pause trick.,Giving the neurodivergent brain 3 full seconds of silence allows auditory decoding and response.,Lead Speech Therapist,Faridabad Speech Room,35s,SLP showing 1-2-3 hand count with quiet smile,Therapist waiting patiently for toy handoff,The 3-Second Pause Rule,Try this during dinner tonight,Aawaz Speech,Save-rate,High,Approved,Speech Tip
F-18,Faridabad,@autismalliance_faridabad,Faridabad Content Layer,Potty Training: Overcoming Commode Terror,Potty Training: Overcoming Commode Terror,Commode par baithne se bachha kyu darta hai? Footstool trick.,Dangly feet trigger gravitational insecurity; placing a firm footstool stabilizes pelvic core muscles.,Pediatric OT,Faridabad Cabin,40s,OT demonstrating two-step footstool under small toilet seat,Firm non-slip stool with colorful footprints,Toilet Training | The Footstool Fix,Save this potty training roadmap,None,Save-rate,High,CLINICAL REVIEW REQUIRED,Guide download
F-19,Faridabad,@autismalliance_faridabad,Faridabad Content Layer,Neharpar & Greater Faridabad Commute Guide,Neharpar & Greater Faridabad Commute Guide,Neharpar (Bypass) se Crown Plaza Mall sirf 12 minute: Easy drive route.,Smooth highway connectivity straight into Sector 15A without traffic chokepoints.,Faridabad Centre Head,Crown Plaza Exterior & Bypass,30s,Time-lapse of car drive crossing flyover to mall,Ample parking spot available right at entrance,12 Mins from Greater Faridabad,Visit Autism Alliance at Crown Plaza,None,Catchment reach,High,Approved,Local Ad Reel
F-20,Faridabad,@autismalliance_faridabad,Faridabad Content Layer,Lycra Hammock Swing for Anxiety,Lycra Hammock Swing for Anxiety,Restless bachhe ko deep pressure lycra swing me wrap karne ka magic.,360-degree cocoon stretch provides vestibular and proprioceptive calm during overstimulation.,Senior OT,Crown Plaza Sensory Gym,35s,Therapist demonstrating elasticity of lycra fabric hammock,Soft swaying motion in dimly lit sensory gym,Lycra Hammock Swing | Anxiety Relief,Book sensory gym walkthrough,None,Save-rate,High,CLINICAL REVIEW REQUIRED,Sensory Demo
F-21,Faridabad,@autismalliance_faridabad,Faridabad Content Layer,Buttoning and Zipper Board Practice,Buttoning and Zipper Board Practice,School uniform ke buttons khud lagana kaise sikhayein.,Starting with large oversized wooden buttons on felt boards before school shirts.,Special Educator,Faridabad Activity Room,35s,Macro of adult fingers pushing giant wooden button through felt,Colorful zipper and snap button busy board,Fine Motor Dressing Skills,Save this dressing practice game,Grand Columbus,Utility,Medium,Approved,Fine Motor Demo
F-22,Faridabad,@autismalliance_faridabad,Faridabad Content Layer,Water Splash Sensory Play for Summer,Water Splash Sensory Play for Summer,Pani me haath marna: Regulation ya sirf shararat?,Water play calms heart rate and organizes breathing; how to structure splash play.,Senior OT,Crown Plaza Activity Room,35s,Clear plastic water tray with floating plastic rings,Hands scooping water with slotted wooden spoon,Water Sensory Play | Calming Reflex,Try this sensory water game today,None,Utility,Low,Approved,Summer Reel
F-23,Faridabad,@autismalliance_faridabad,Faridabad Content Layer,AIMS Hospital Faridabad Referral Route,AIMS Hospital Faridabad Referral Route,AIMS Sector 21A se hamare centre tak referral pathway kaise kaam karta hai.,Coordinating developmental evaluation reports directly with pediatric consultants.,Clinic Clinical Director,Faridabad Consult Room,40s,Director reviewing clinical multidisciplinary report,Doctor referral slip graphic template,Hospital to Therapy Referral,Call our clinic desk for appointment,AIMS Hospital,Referral trust,High,Approved,Medical Reel
F-24,Faridabad,@autismalliance_faridabad,Faridabad Content Layer,Clothespin Finger Strength Workout,Clothespin Finger Strength Workout,Kapde sukhane wale chimte se hand grip kaise banayein.,Pinching laundry pegs onto cardboard builds three-jaw chuck grasp needed for holding pencils.,Lead OT,Faridabad Activity Table,35s,Adult hand squeezing wooden clothespin onto colored paper plate,Bright wooden clothespins sorting by color,Hand Grip Strength | Clothespin Game,Save this 2-minute handwriting prep,Vidya Mandir School,Save-rate,High,Approved,Home Activity
