Date,Week,Day,Content_Type,ID_Link,Series,Pillar,Format,Characters,Topic,Exact_Hook,Audio_Tone,CTA,Clinical_Review,Channel_Focus,Production_Status
2026-09-19,Week 2,Saturday,Hybrid Reel (Mascot + Real Footage),HYBRID-W02,Gappu & Dolly × Real Centres,P9: THERAPY ROOM ADVENTURES,Format 5 / Therapist Explains,"Gappu, Dolly, Dr. Atul / Real Therapist",Real Centre Footage with Animated Mascot Takeaway,Gappu wonders why therapists play games... Dr. Atul explains the neuroscience!,"Professional, Uplifting, Grounded","Visit Autism Alliance in Delhi, Faridabad, Ludhiana",CLINICAL REVIEW REQUIRED,Instagram Collab & Facebook Master,Scheduled
2026-09-20,Week 2,Sunday,Sunday Parent Affirmation Post,SUN-D14,Parents First Sunday,P10: PARENTS FIRST STORIES,Static Carousel / Illustrated Quote,Gappu & Dolly,You Are Doing Enough: A Message to Mothers,Take a deep breath. You are the best parent for your child.,"Gentle, Meditative, Soothing",Share with an exhausted parent today,Approved,"Instagram Feed, FB Group, Community",Scheduled
2026-09-21,Week 3,Monday,Animated Reel (9:16),GD-R007,Gappu & Dolly: Connect,P2: DOLLY FEELS,Format 1 / Micro-Story,Gappu & Dolly,The Room Isn't Loud To You,The mall isn't too loud for you... but it may feel like thunder to someone else.,"Warm, Curious, Empathetic",Understand before judging,Approved,"IG Reels, YT Shorts, FB Reels",Scheduled
2026-09-22,Week 3,Tuesday,Interactive Story Series,STORY-D16,Gappu & Dolly Story Time,P4: WHAT WOULD YOU DO?,Format 4 / Guess The Feeling Sticker,Gappu & Dolly,Interactive Story Poll on Toddler Behaviors,Gappu asks: What would you do if your child screams at haircut scissors?,"Playful, Conversational",Vote in the poll sticker,Approved,Instagram Stories & WhatsApp Status,Scheduled
2026-09-23,Week 3,Wednesday,Animated Reel (9:16),GD-R008,Gappu & Dolly: Connect,P2: DOLLY FEELS,Format 1 / Micro-Story,Gappu & Dolly,Flapping Is My Pure Joy,"When hands flutter like butterflies, it's not bad... it's pure happiness overflowing!","Warm, Curious, Empathetic",Never extinguish safe joy,Approved,"IG Reels, YT Shorts, FB Reels",Scheduled
2026-09-24,Week 3,Thursday,Interactive Story Series,STORY-D18,Gappu & Dolly Story Time,P4: WHAT WOULD YOU DO?,Format 4 / Guess The Feeling Sticker,Gappu & Dolly,Interactive Story Poll on Toddler Behaviors,Gappu asks: What would you do if your child screams at haircut scissors?,"Playful, Conversational",Vote in the poll sticker,Approved,Instagram Stories & WhatsApp Status,Scheduled
2026-09-25,Week 3,Friday,Animated Reel (9:16),GD-R009,Gappu & Dolly: Connect,P2: DOLLY FEELS,Format 1 / Micro-Story,Gappu & Dolly,The Scratchy Tag Monster,That tiny shirt tag feels like sandpaper on his skin.,"Warm, Curious, Empathetic",Tagless clothes = peaceful mornings,Approved,"IG Reels, YT Shorts, FB Reels",Scheduled
2026-09-26,Week 3,Saturday,Hybrid Reel (Mascot + Real Footage),HYBRID-W03,Gappu & Dolly × Real Centres,P9: THERAPY ROOM ADVENTURES,Format 5 / Therapist Explains,"Gappu, Dolly, Dr. Atul / Real Therapist",Real Centre Footage with Animated Mascot Takeaway,Gappu wonders why therapists play games... Dr. Atul explains the neuroscience!,"Professional, Uplifting, Grounded","Visit Autism Alliance in Delhi, Faridabad, Ludhiana",CLINICAL REVIEW REQUIRED,Instagram Collab & Facebook Master,Scheduled
2026-09-27,Week 3,Sunday,Sunday Parent Affirmation Post,SUN-D21,Parents First Sunday,P10: PARENTS FIRST STORIES,Static Carousel / Illustrated Quote,Gappu & Dolly,You Are Doing Enough: A Message to Mothers,Take a deep breath. You are the best parent for your child.,"Gentle, Meditative, Soothing",Share with an exhausted parent today,Approved,"Instagram Feed, FB Group, Community",Scheduled
2026-09-28,Week 4,Monday,Animated Reel (9:16),GD-R010,Gappu & Dolly: Connect,P2: DOLLY FEELS,Format 1 / Micro-Story,Gappu & Dolly,I Hear Everything At Once,"Imagine hearing the clock tick, the fan whirl, and the street dog all at the exact same volume.","Warm, Curious, Empathetic",Share with school counselors,CLINICAL REVIEW REQUIRED,"IG Reels, YT Shorts, FB Reels",Scheduled
2026-09-29,Week 4,Tuesday,Interactive Story Series,STORY-D23,Gappu & Dolly Story Time,P4: WHAT WOULD YOU DO?,Format 4 / Guess The Feeling Sticker,Gappu & Dolly,Interactive Story Poll on Toddler Behaviors,Gappu asks: What would you do if your child screams at haircut scissors?,"Playful, Conversational",Vote in the poll sticker,Approved,Instagram Stories & WhatsApp Status,Scheduled
2026-09-30,Week 4,Wednesday,Animated Reel (9:16),GD-R011,Gappu & Dolly: Connect,P2: DOLLY FEELS,Format 1 / Micro-Story,Gappu & Dolly,"I Want To Play, But How?",Just because I stand near the swings watching doesn't mean I want to be alone.,"Warm, Curious, Empathetic",Inclusion starts with sitting beside,Approved,"IG Reels, YT Shorts, FB Reels",Scheduled
2026-10-01,Week 4,Thursday,Interactive Story Series,STORY-D25,Gappu & Dolly Story Time,P4: WHAT WOULD YOU DO?,Format 4 / Guess The Feeling Sticker,Gappu & Dolly,Interactive Story Poll on Toddler Behaviors,Gappu asks: What would you do if your child screams at haircut scissors?,"Playful, Conversational",Vote in the poll sticker,Approved,Instagram Stories & WhatsApp Status,Scheduled
2026-10-02,Week 4,Friday,Animated Reel (9:16),GD-R012,Gappu & Dolly: Connect,P2: DOLLY FEELS,Format 1 / Micro-Story,Gappu & Dolly,The Meltdown Hangover,"After the storm passes, my body feels like it ran a marathon.","Warm, Curious, Empathetic","Comfort first, talk much later",CLINICAL REVIEW REQUIRED,"IG Reels, YT Shorts, FB Reels",Scheduled
2026-10-03,Week 4,Saturday,Hybrid Reel (Mascot + Real Footage),HYBRID-W04,Gappu & Dolly × Real Centres,P9: THERAPY ROOM ADVENTURES,Format 5 / Therapist Explains,"Gappu, Dolly, Dr. Atul / Real Therapist",Real Centre Footage with Animated Mascot Takeaway,Gappu wonders why therapists play games... Dr. Atul explains the neuroscience!,"Professional, Uplifting, Grounded","Visit Autism Alliance in Delhi, Faridabad, Ludhiana",CLINICAL REVIEW REQUIRED,Instagram Collab & Facebook Master,Scheduled
2026-10-04,Week 4,Sunday,Sunday Parent Affirmation Post,SUN-D28,Parents First Sunday,P10: PARENTS FIRST STORIES,Static Carousel / Illustrated Quote,Gappu & Dolly,You Are Doing Enough: A Message to Mothers,Take a deep breath. You are the best parent for your child.,"Gentle, Meditative, Soothing",Share with an exhausted parent today,Approved,"Instagram Feed, FB Group, Community",Scheduled
2026-10-05,Week 5,Monday,Animated Reel (9:16),GD-R013,Gappu & Dolly: Connect,P3: GAPPU & DOLLY EXPLAIN,Format 1 / Micro-Story,Gappu & Dolly,What Is Joint Attention?,Pointing with an index finger is the world's first conversation.,"Warm, Curious, Empathetic",Check this milestone at 18 months,CLINICAL REVIEW REQUIRED,"IG Reels, YT Shorts, FB Reels",Scheduled
2026-10-06,Week 5,Tuesday,Interactive Story Series,STORY-D30,Gappu & Dolly Story Time,P4: WHAT WOULD YOU DO?,Format 4 / Guess The Feeling Sticker,Gappu & Dolly,Interactive Story Poll on Toddler Behaviors,Gappu asks: What would you do if your child screams at haircut scissors?,"Playful, Conversational",Vote in the poll sticker,Approved,Instagram Stories & WhatsApp Status,Scheduled
2026-10-07,Week 5,Wednesday,Animated Reel (9:16),GD-R014,Gappu & Dolly: Connect,P3: GAPPU & DOLLY EXPLAIN,Format 1 / Micro-Story,Gappu & Dolly,What Is Proprioception?,How does your body know where your feet are without looking? Meet Proprioception!,"Warm, Curious, Empathetic",Save this sensory science fact,CLINICAL REVIEW REQUIRED,"IG Reels, YT Shorts, FB Reels",Scheduled
2026-10-08,Week 5,Thursday,Interactive Story Series,STORY-D32,Gappu & Dolly Story Time,P4: WHAT WOULD YOU DO?,Format 4 / Guess The Feeling Sticker,Gappu & Dolly,Interactive Story Poll on Toddler Behaviors,Gappu asks: What would you do if your child screams at haircut scissors?,"Playful, Conversational",Vote in the poll sticker,Approved,Instagram Stories & WhatsApp Status,Scheduled
2026-10-09,Week 5,Friday,Animated Reel (9:16),GD-R015,Gappu & Dolly: Connect,P3: GAPPU & DOLLY EXPLAIN,Format 1 / Micro-Story,Gappu & Dolly,What Is A Sensory Diet?,A sensory diet isn't vegetables and fruit; it's food for your nervous system!,"Warm, Curious, Empathetic",Consult an OT for your child's sensory diet,CLINICAL REVIEW REQUIRED,"IG Reels, YT Shorts, FB Reels",Scheduled
2026-10-10,Week 5,Saturday,Hybrid Reel (Mascot + Real Footage),HYBRID-W05,Gappu & Dolly × Real Centres,P9: THERAPY ROOM ADVENTURES,Format 5 / Therapist Explains,"Gappu, Dolly, Dr. Atul / Real Therapist",Real Centre Footage with Animated Mascot Takeaway,Gappu wonders why therapists play games... Dr. Atul explains the neuroscience!,"Professional, Uplifting, Grounded","Visit Autism Alliance in Delhi, Faridabad, Ludhiana",CLINICAL REVIEW REQUIRED,Instagram Collab & Facebook Master,Scheduled
2026-10-11,Week 5,Sunday,Sunday Parent Affirmation Post,SUN-D35,Parents First Sunday,P10: PARENTS FIRST STORIES,Static Carousel / Illustrated Quote,Gappu & Dolly,You Are Doing Enough: A Message to Mothers,Take a deep breath. You are the best parent for your child.,"Gentle, Meditative, Soothing",Share with an exhausted parent today,Approved,"Instagram Feed, FB Group, Community",Scheduled
2026-10-12,Week 6,Monday,Animated Reel (9:16),GD-R016,Gappu & Dolly: Connect,P3: GAPPU & DOLLY EXPLAIN,Format 1 / Micro-Story,Gappu & Dolly,What Is PECS?,A picture can speak louder than words! How PECS unlocks a non-verbal child's voice.,"Warm, Curious, Empathetic",Communication is a human right,CLINICAL REVIEW REQUIRED,"IG Reels, YT Shorts, FB Reels",Scheduled
2026-10-13,Week 6,Tuesday,Interactive Story Series,STORY-D37,Gappu & Dolly Story Time,P4: WHAT WOULD YOU DO?,Format 4 / Guess The Feeling Sticker,Gappu & Dolly,Interactive Story Poll on Toddler Behaviors,Gappu asks: What would you do if your child screams at haircut scissors?,"Playful, Conversational",Vote in the poll sticker,Approved,Instagram Stories & WhatsApp Status,Scheduled
2026-10-14,Week 6,Wednesday,Animated Reel (9:16),GD-R017,Gappu & Dolly: Connect,P3: GAPPU & DOLLY EXPLAIN,Format 1 / Micro-Story,Gappu & Dolly,What Is Interoception?,Why does Kabir forget to drink water or resist potty training? Meet the 8th sense!,"Warm, Curious, Empathetic",Watch our full YouTube masterclass,CLINICAL REVIEW REQUIRED,"IG Reels, YT Shorts, FB Reels",Scheduled
2026-10-15,Week 6,Thursday,Interactive Story Series,STORY-D39,Gappu & Dolly Story Time,P4: WHAT WOULD YOU DO?,Format 4 / Guess The Feeling Sticker,Gappu & Dolly,Interactive Story Poll on Toddler Behaviors,Gappu asks: What would you do if your child screams at haircut scissors?,"Playful, Conversational",Vote in the poll sticker,Approved,Instagram Stories & WhatsApp Status,Scheduled
2026-10-16,Week 6,Friday,Animated Reel (9:16),GD-R018,Gappu & Dolly: Connect,P3: GAPPU & DOLLY EXPLAIN,Format 1 / Micro-Story,Gappu & Dolly,What Is Gestalt Language?,Some children learn single words first. Others learn whole musical sentences first!,"Warm, Curious, Empathetic",DM 'GESTALT' for language guide,CLINICAL REVIEW REQUIRED,"IG Reels, YT Shorts, FB Reels",Scheduled
2026-10-17,Week 6,Saturday,Hybrid Reel (Mascot + Real Footage),HYBRID-W06,Gappu & Dolly × Real Centres,P9: THERAPY ROOM ADVENTURES,Format 5 / Therapist Explains,"Gappu, Dolly, Dr. Atul / Real Therapist",Real Centre Footage with Animated Mascot Takeaway,Gappu wonders why therapists play games... Dr. Atul explains the neuroscience!,"Professional, Uplifting, Grounded","Visit Autism Alliance in Delhi, Faridabad, Ludhiana",CLINICAL REVIEW REQUIRED,Instagram Collab & Facebook Master,Scheduled
2026-10-18,Week 6,Sunday,Sunday Parent Affirmation Post,SUN-D42,Parents First Sunday,P10: PARENTS FIRST STORIES,Static Carousel / Illustrated Quote,Gappu & Dolly,You Are Doing Enough: A Message to Mothers,Take a deep breath. You are the best parent for your child.,"Gentle, Meditative, Soothing",Share with an exhausted parent today,Approved,"Instagram Feed, FB Group, Community",Scheduled
2026-10-19,Week 7,Monday,Animated Reel (9:16),GD-R019,Gappu & Dolly: Connect,P4: WHAT WOULD YOU DO?,Format 1 / Micro-Story,Gappu & Dolly,The Loud Birthday Horn,Birthday party music starts blaring and a classmate ducks under a chair. What should Gappu do?,"Warm, Curious, Empathetic",Comment your answer below!,Approved,"IG Reels, YT Shorts, FB Reels",Scheduled
2026-10-20,Week 7,Tuesday,Interactive Story Series,STORY-D44,Gappu & Dolly Story Time,P4: WHAT WOULD YOU DO?,Format 4 / Guess The Feeling Sticker,Gappu & Dolly,Interactive Story Poll on Toddler Behaviors,Gappu asks: What would you do if your child screams at haircut scissors?,"Playful, Conversational",Vote in the poll sticker,Approved,Instagram Stories & WhatsApp Status,Scheduled
2026-10-21,Week 7,Wednesday,Animated Reel (9:16),GD-R020,Gappu & Dolly: Connect,P4: WHAT WOULD YOU DO?,Format 1 / Micro-Story,Gappu & Dolly,The Sudden Bell Ring,The loud recess bell rings suddenly. Kabir drops his books and screams. What would you do?,"Warm, Curious, Empathetic",Share with school teachers,CLINICAL REVIEW REQUIRED,"IG Reels, YT Shorts, FB Reels",Scheduled
2026-10-22,Week 7,Thursday,Interactive Story Series,STORY-D46,Gappu & Dolly Story Time,P4: WHAT WOULD YOU DO?,Format 4 / Guess The Feeling Sticker,Gappu & Dolly,Interactive Story Poll on Toddler Behaviors,Gappu asks: What would you do if your child screams at haircut scissors?,"Playful, Conversational",Vote in the poll sticker,Approved,Instagram Stories & WhatsApp Status,Scheduled
2026-10-23,Week 7,Friday,Animated Reel (9:16),GD-R021,Gappu & Dolly: Connect,P4: WHAT WOULD YOU DO?,Format 1 / Micro-Story,Gappu & Dolly,The Line Cutting Dilemma,Kabir wants the slide right now and pushes to the front. How do we guide him with love?,"Warm, Curious, Empathetic",Try visual counting at the park,Approved,"IG Reels, YT Shorts, FB Reels",Scheduled
2026-10-24,Week 7,Saturday,Hybrid Reel (Mascot + Real Footage),HYBRID-W07,Gappu & Dolly × Real Centres,P9: THERAPY ROOM ADVENTURES,Format 5 / Therapist Explains,"Gappu, Dolly, Dr. Atul / Real Therapist",Real Centre Footage with Animated Mascot Takeaway,Gappu wonders why therapists play games... Dr. Atul explains the neuroscience!,"Professional, Uplifting, Grounded","Visit Autism Alliance in Delhi, Faridabad, Ludhiana",CLINICAL REVIEW REQUIRED,Instagram Collab & Facebook Master,Scheduled
2026-10-25,Week 7,Sunday,Sunday Parent Affirmation Post,SUN-D49,Parents First Sunday,P10: PARENTS FIRST STORIES,Static Carousel / Illustrated Quote,Gappu & Dolly,You Are Doing Enough: A Message to Mothers,Take a deep breath. You are the best parent for your child.,"Gentle, Meditative, Soothing",Share with an exhausted parent today,Approved,"Instagram Feed, FB Group, Community",Scheduled
2026-10-26,Week 8,Monday,Animated Reel (9:16),GD-R022,Gappu & Dolly: Connect,P4: WHAT WOULD YOU DO?,Format 1 / Micro-Story,Gappu & Dolly,The Food On His Plate Touches,The dal touched the rice and Kabir refuses to eat. What would you do?,"Warm, Curious, Empathetic",Save this mealtime tip,CLINICAL REVIEW REQUIRED,"IG Reels, YT Shorts, FB Reels",Scheduled
2026-10-27,Week 8,Tuesday,Interactive Story Series,STORY-D51,Gappu & Dolly Story Time,P4: WHAT WOULD YOU DO?,Format 4 / Guess The Feeling Sticker,Gappu & Dolly,Interactive Story Poll on Toddler Behaviors,Gappu asks: What would you do if your child screams at haircut scissors?,"Playful, Conversational",Vote in the poll sticker,Approved,Instagram Stories & WhatsApp Status,Scheduled
2026-10-28,Week 8,Wednesday,Animated Reel (9:16),GD-R023,Gappu & Dolly: Connect,P4: WHAT WOULD YOU DO?,Format 1 / Micro-Story,Gappu & Dolly,The Toy Takeaway,"Time to leave for school, but Kabir won't let go of his favorite blue car. What do you do?","Warm, Curious, Empathetic",Try the pocket trick tomorrow,Approved,"IG Reels, YT Shorts, FB Reels",Scheduled
2026-10-29,Week 8,Thursday,Interactive Story Series,STORY-D53,Gappu & Dolly Story Time,P4: WHAT WOULD YOU DO?,Format 4 / Guess The Feeling Sticker,Gappu & Dolly,Interactive Story Poll on Toddler Behaviors,Gappu asks: What would you do if your child screams at haircut scissors?,"Playful, Conversational",Vote in the poll sticker,Approved,Instagram Stories & WhatsApp Status,Scheduled
2026-10-30,Week 8,Friday,Animated Reel (9:16),GD-R024,Gappu & Dolly: Connect,P4: WHAT WOULD YOU DO?,Format 1 / Micro-Story,Gappu & Dolly,The Crowded Metro Elevator,A crowded metro elevator in South Delhi... Kabir starts crying. What should Gappu do?,"Warm, Curious, Empathetic",Kindness in public transit matters,Approved,"IG Reels, YT Shorts, FB Reels",Scheduled
2026-10-31,Week 8,Saturday,Hybrid Reel (Mascot + Real Footage),HYBRID-W08,Gappu & Dolly × Real Centres,P9: THERAPY ROOM ADVENTURES,Format 5 / Therapist Explains,"Gappu, Dolly, Dr. Atul / Real Therapist",Real Centre Footage with Animated Mascot Takeaway,Gappu wonders why therapists play games... Dr. Atul explains the neuroscience!,"Professional, Uplifting, Grounded","Visit Autism Alliance in Delhi, Faridabad, Ludhiana",CLINICAL REVIEW REQUIRED,Instagram Collab & Facebook Master,Scheduled
2026-11-01,Week 8,Sunday,Sunday Parent Affirmation Post,SUN-D56,Parents First Sunday,P10: PARENTS FIRST STORIES,Static Carousel / Illustrated Quote,Gappu & Dolly,You Are Doing Enough: A Message to Mothers,Take a deep breath. You are the best parent for your child.,"Gentle, Meditative, Soothing",Share with an exhausted parent today,Approved,"Instagram Feed, FB Group, Community",Scheduled
2026-11-02,Week 9,Monday,Animated Reel (9:16),GD-R025,Gappu & Dolly: Connect,P5: PARENT MOMENT,Format 1 / Micro-Story,Gappu & Dolly,Stop Comparing The Growth Chart,A mother watches other 2-year-olds speaking poetry while hers speaks in smiles.,"Warm, Curious, Empathetic",Share with an exhausted mother today,Approved,"IG Reels, YT Shorts, FB Reels",Scheduled
2026-11-03,Week 9,Tuesday,Interactive Story Series,STORY-D58,Gappu & Dolly Story Time,P4: WHAT WOULD YOU DO?,Format 4 / Guess The Feeling Sticker,Gappu & Dolly,Interactive Story Poll on Toddler Behaviors,Gappu asks: What would you do if your child screams at haircut scissors?,"Playful, Conversational",Vote in the poll sticker,Approved,Instagram Stories & WhatsApp Status,Scheduled
2026-11-04,Week 9,Wednesday,Animated Reel (9:16),GD-R026,Gappu & Dolly: Connect,P5: PARENT MOMENT,Format 1 / Micro-Story,Gappu & Dolly,You Did Not Cause This,To every mother who asked in the dark: 'Did I do something wrong?' Listen closely.,"Warm, Curious, Empathetic",You are the best parent for your child,Approved,"IG Reels, YT Shorts, FB Reels",Scheduled
2026-11-05,Week 9,Thursday,Interactive Story Series,STORY-D60,Gappu & Dolly Story Time,P4: WHAT WOULD YOU DO?,Format 4 / Guess The Feeling Sticker,Gappu & Dolly,Interactive Story Poll on Toddler Behaviors,Gappu asks: What would you do if your child screams at haircut scissors?,"Playful, Conversational",Vote in the poll sticker,Approved,Instagram Stories & WhatsApp Status,Scheduled
