ID,Title,Pillar,Series,Audience,Concept,Exact_Hook,Character_Used,Supporting_Characters,Setting,Conflict_Question,Educational_Point,Dialogue_Summary,Duration,Scene_Count,CTA,Clinical_Review_Required,Visual_Complexity,Production_Difficulty,AI_Generation_Difficulty,Paid_Eligible,YouTube_Shorts_Fit,Instagram_Fit,Facebook_Fit
GD-R011,"I Want To Play, But How?",P2: DOLLY FEELS,Gappu & Dolly: Connect,Peers & Parents,The hidden desire for social connection in non-speaking children.,Just because I stand near the swings watching doesn't mean I want to be alone.,Gappu & Dolly,"Aarav (Peer), Kabir",School Playground,Children running off assuming Kabir doesn't want to play.,Parallel play and observational proximity are authentic forms of wanting to belong.,Dolly invites Aarav to sit beside Kabir with chalk; Kabir smiles and draws a matching circle.,30s,4,Inclusion starts with sitting beside,Approved,Medium,Medium,Medium,Yes,Yes,Yes,Yes
GD-R012,The Meltdown Hangover,P2: DOLLY FEELS,Gappu & Dolly: Connect,Parents & Teachers,The physical exhaustion following a sensory meltdown.,"After the storm passes, my body feels like it ran a marathon.",Gappu & Dolly,"Maa, Kabir",Sensory Calm Room,Parents demanding immediate apologies right after an emotional meltdown.,"Meltdowns deplete adrenaline and glucose; the nervous system requires rest, hydration, and quiet.",Dolly provides a soft weighted blanket; Gappu brings a glass of water without demanding words.,32s,4,"Comfort first, talk much later",CLINICAL REVIEW REQUIRED,Medium,Medium,Low,Yes,Yes,Yes,Yes
GD-R013,What Is Joint Attention?,P3: GAPPU & DOLLY EXPLAIN,Gappu & Dolly: Connect,Toddler Parents,Explaining index finger pointing and shared gaze.,Pointing with an index finger is the world's first conversation.,Gappu & Dolly,Kabir,Activity Room,Parent wondering why doctor asked if baby points at airplanes.,Joint attention is the cognitive foundation of shared human perspective and spoken language.,"Gappu points his trunk at a flying bird; Dolly looks, smiles, and explains the shared brain bridge.",30s,4,Check this milestone at 18 months,CLINICAL REVIEW REQUIRED,Medium,Medium,Low,Yes,Yes,Yes,Yes
GD-R014,What Is Proprioception?,P3: GAPPU & DOLLY EXPLAIN,Gappu & Dolly: Connect,Parents & Therapists,Explaining the muscle & joint sense of body position.,How does your body know where your feet are without looking? Meet Proprioception!,Gappu & Dolly,None,Autism Alliance Gym,"Explaining why children push walls, crash into sofas, or stomp their feet.",Deep muscle and joint input grounds the nervous system and creates physical security.,Gappu gives a giant hug to a bolster cushion; Dolly explains the 'heavy work' reflex.,32s,4,Save this sensory science fact,CLINICAL REVIEW REQUIRED,Medium,Medium,Medium,Yes,Yes,Yes,Yes
GD-R015,What Is A Sensory Diet?,P3: GAPPU & DOLLY EXPLAIN,Gappu & Dolly: Connect,Parents,"Demystifying sensory diet: It's activities, not food!",A sensory diet isn't vegetables and fruit; it's food for your nervous system!,Gappu & Dolly,Therapist Diya,Sensory Gym,Confusion between nutritional diets and OT sensory diets.,A personalized schedule of physical sensory inputs that keeps a child regulated throughout the day.,"Gappu packs a backpack with swings, bubble wands, and playdough instead of sandwiches.",28s,4,Consult an OT for your child's sensory diet,CLINICAL REVIEW REQUIRED,Medium,Medium,Low,Yes,Yes,Yes,Yes
GD-R016,What Is PECS?,P3: GAPPU & DOLLY EXPLAIN,Gappu & Dolly: Connect,Parents of Non-Speaking Kids,Picture Exchange Communication System decoded.,A picture can speak louder than words! How PECS unlocks a non-verbal child's voice.,Gappu & Dolly,Kabir,Dining Table,Fear that giving pictures will stop a child from learning to speak.,Picture exchange builds functional communication and reduces speech frustration.,Kabir hands Gappu a laminated picture card of an apple; Gappu happily hands over a crisp apple.,30s,4,Communication is a human right,CLINICAL REVIEW REQUIRED,Medium,Medium,Low,Yes,Yes,Yes,Yes
GD-R017,What Is Interoception?,P3: GAPPU & DOLLY EXPLAIN,Gappu & Dolly: Connect,Parents,"The 8th sense: Hunger, thirst, bladder, and internal temperature.",Why does Kabir forget to drink water or resist potty training? Meet the 8th sense!,Gappu & Dolly,Kabir,Playroom,Parent frustrated that 4-year-old doesn't say when they need the washroom.,Interoceptive nerve signals from internal organs may be under-registered or delayed.,Dolly reveals the gentle internal signals; Gappu introduces timed bathroom routine cards.,35s,5,Watch our full YouTube masterclass,CLINICAL REVIEW REQUIRED,High,Medium,Medium,Yes,Yes,Yes,Yes
GD-R018,What Is Gestalt Language?,P3: GAPPU & DOLLY EXPLAIN,Gappu & Dolly: Connect,Parents & Educators,Analytic vs Gestalt language development in simple visual terms.,Some children learn single words first. Others learn whole musical sentences first!,Gappu & Dolly,None,Studio Graphic Setup,Children being labeled 'meaningless echolalic' because they repeat movie songs.,Gestalt processors absorb language in melodic chunks before breaking them down into single words.,Gappu sings a 3-word cartoon phrase; Dolly shows how the puzzle pieces separate into new speech.,34s,5,DM 'GESTALT' for language guide,CLINICAL REVIEW REQUIRED,Medium,Medium,Medium,Yes,Yes,Yes,Yes
GD-R019,The Loud Birthday Horn,P4: WHAT WOULD YOU DO?,Gappu & Dolly: Connect,Peers & Parents,Social scenario: Party noise overwhelm.,Birthday party music starts blaring and a classmate ducks under a chair. What should Gappu do?,Gappu & Dolly,"Aarav, Kabir",Party Room,Loud speaker turned on at children's party; child retreats into corner.,True inclusion is offering a quiet escape without shaming the child.,"Gappu shows 3 choices on screen (A: Force dance, B: Laugh, C: Bring ear protectors). Dolly reveals C!",28s,5,Comment your answer below!,Approved,Medium,Low,Low,Yes,Yes,Yes,Yes
GD-R020,The Sudden Bell Ring,P4: WHAT WOULD YOU DO?,Gappu & Dolly: Connect,School Teachers,School scenario: Recess transition panic.,The loud recess bell rings suddenly. Kabir drops his books and screams. What would you do?,Gappu & Dolly,"Teacher, Kabir",Classroom,Transition panic caused by sudden acoustic shock.,Preparing children 2 minutes before the bell prevents fight-or-flight shock.,Interactive countdown: A) Scold him B) Give visual warning 2 minutes early. Reveal B!,30s,5,Share with school teachers,CLINICAL REVIEW REQUIRED,Medium,Medium,Medium,Yes,Yes,Yes,Yes
GD-R021,The Line Cutting Dilemma,P4: WHAT WOULD YOU DO?,Gappu & Dolly: Connect,Peers & Parents,Playground scenario: Turn-taking and waiting tolerance.,Kabir wants the slide right now and pushes to the front. How do we guide him with love?,Gappu & Dolly,"Aarav, Kabir",Park Slide,Impulsive waiting difficulty on high-dopamine park equipment.,"Visual countdowns ('1-2-3, Kabir's turn') work 10x better than shouting 'Wait!'.",Gappu uses visual finger counting; Kabir waits happily and slides with joy.,30s,4,Try visual counting at the park,Approved,Medium,Low,Low,Yes,Yes,Yes,Yes
GD-R022,The Food On His Plate Touches,P4: WHAT WOULD YOU DO?,Gappu & Dolly: Connect,Parents,Mealtime scenario: Food separation and sensory texture refusal.,The dal touched the rice and Kabir refuses to eat. What would you do?,Gappu & Dolly,"Maa, Kabir",Dining Table,Parent assuming child is just being stubbornly picky about dinner.,Sensory texture mixing triggers acute disgust reflex; compartmentalized plates provide security.,Choice A: Force him to eat it. Choice B: Use a partitioned thali plate. Dolly demonstrates B!,28s,4,Save this mealtime tip,CLINICAL REVIEW REQUIRED,Medium,Low,Low,Yes,Yes,Yes,Yes
GD-R023,The Toy Takeaway,P4: WHAT WOULD YOU DO?,Gappu & Dolly: Connect,Parents & Siblings,Transition scenario: Ending screen/toy time peacefully.,"Time to leave for school, but Kabir won't let go of his favorite blue car. What do you do?",Gappu & Dolly,"Papa, Kabir",Front Door,Snatching the toy away triggers a 45-minute meltdown.,Giving a 'job' to the transition toy (e.g. 'The car will ride in your pocket!') creates smooth exit.,Gappu tucks the car into Kabir's pocket; Kabir walks out holding dad's hand peacefully.,30s,5,Try the pocket trick tomorrow,Approved,Medium,Low,Low,Yes,Yes,Yes,Yes
GD-R024,The Crowded Metro Elevator,P4: WHAT WOULD YOU DO?,Gappu & Dolly: Connect,Community / Delhi NCR,Commute scenario: Close proximity sensory claustrophobia.,A crowded metro elevator in South Delhi... Kabir starts crying. What should Gappu do?,Gappu & Dolly,"Crowd, Kabir",Metro Station,Physical proximity and personal space violation causing acute panic.,"Stepping back, taking the next less crowded car, or offering a firm squeeze calms anxiety.","Gappu steps aside, waits for next lift, and holds Kabir safely; Dolly showers soothing bubbles.",30s,5,Kindness in public transit matters,Approved,High,Medium,Medium,Yes,Yes,Yes,Yes
GD-R025,Stop Comparing The Growth Chart,P5: PARENT MOMENT,Gappu & Dolly: Connect,Mothers & Fathers,Overcoming playground comparison anxiety.,A mother watches other 2-year-olds speaking poetry while hers speaks in smiles.,Gappu & Dolly,Maa,Park Bench,Maternal heartache and silent panic watching neurotypical milestone milestones.,Children do not bloom in the same season; comparison steals your joy with the real child in front of you.,Dolly gently rests her flipper on mother's trembling shoulder; Gappu shows a unique beautiful flower.,35s,4,Share with an exhausted mother today,Approved,Medium,Low,Low,Yes,Yes,Yes,Yes
GD-R026,You Did Not Cause This,P5: PARENT MOMENT,Gappu & Dolly: Connect,Mothers,Dismantling maternal guilt regarding screen time or working hours.,To every mother who asked in the dark: 'Did I do something wrong?' Listen closely.,Gappu & Dolly,Maa,Quiet Bedroom,Mothers secretly blaming themselves for their child's developmental difference.,Autism is biological neurodiversity with deep genetic roots; working late or phones did not cause it.,Gappu and Dolly hold a glowing mirror reflecting the mother's boundless love and resilience.,35s,4,You are the best parent for your child,Approved,Medium,Low,Low,Yes,Yes,Yes,Yes
GD-R027,The 15-Minute Home Win,P5: PARENT MOMENT,Gappu & Dolly: Connect,Working Parents,Parent-mediated therapy: 15 focused minutes beats exhausting clinic marathons.,You don't need 8 hours of therapy. 15 minutes of joyful floor play changes brain wiring!,Gappu & Dolly,"Papa, Kabir",Living Room Rug,Guilt over not affording 40 hours of clinic therapies every week.,"Consistent, responsive parent co-play throughout daily routines is the most potent neuroplastic tool.","Papa rolls a tennis ball back and forth with Kabir, laughing together. Dolly counts: '15 magic minutes!'.",30s,4,Learn our Parent Training Model,CLINICAL REVIEW REQUIRED,Medium,Low,Low,Yes,Yes,Yes,Yes
GD-R028,When Relatives Say 'He'll Grow Out Of It',P5: PARENT MOMENT,Gappu & Dolly: Connect,Joint Families,Empowering young parents against family denial.,"When in-laws say 'Wait till age 5, boys talk late'... how to stand firm with love.",Gappu & Dolly,"Dadi, Maa, Kabir",Family Living Room,Extended family dismissing early red flags and delaying therapy.,Early support during peak 0-3 neuroplasticity is gentle and life-changing; waiting wastes precious time.,"Gappu explains kindly to Dadi: 'Early play classes help everyone, Dadi ji!' Dadi smiles and agrees.",32s,5,Share in your family WhatsApp group,CLINICAL REVIEW REQUIRED,Medium,Medium,Medium,Yes,Yes,Yes,Yes
GD-R029,Breathe Before You React,P5: PARENT MOMENT,Gappu & Dolly: Connect,Parents,Co-regulation: The parent's calm nervous system is the child's anchor.,An upset child cannot calm down if your own heart is pounding with anger.,Gappu & Dolly,"Maa, Kabir",Hallway,Parent feeling their own anger spiking during an evening tantrum.,Mirror neurons mean the child absorbs your physiological distress; regulate yourself first.,Gappu demonstrates 3 slow deep belly breaths; Dolly shows the mother's heart rate slowing into peace.,28s,4,Save this reminder for tough days,Approved,Low,Low,Low,Yes,Yes,Yes,Yes
GD-R030,Celebrating The Micro-Milestone,P5: PARENT MOMENT,Gappu & Dolly: Connect,Special Needs Families,Validating non-traditional developmental triumphs.,He didn't recite a poem today. But he looked at me and handed me a block. That is our Everest!,Gappu & Dolly,"Maa, Kabir",Playroom,Feeling discouraged because progress looks slow on standard charts.,Every micro-connection is a colossal neurological breakthrough worthy of celebration.,Gappu waves a colorful victory flag; Dolly showers sparkling confetti over a single shared smile.,28s,4,What micro-win did you celebrate today?,Approved,Medium,Low,Low,Yes,Yes,Yes,Yes
GD-R031,The Visual Desk Schedule,P6: SCHOOL MOMENT,Gappu & Dolly: Connect,Primary Teachers,Simple classroom desk modification for focus.,3 picture cards on the corner of the desk: The secret to classroom focus without shouting.,Gappu & Dolly,"Teacher, Kabir",Classroom,Child repeatedly asking 'When is home time? When is snack?' during class.,Visual schedules reduce cognitive anxiety and eliminate repetitive questioning.,Gappu sticks three velcro cards on desk (`[Book] -> [Snack] -> [Bus]`); Kabir points and works calmly.,30s,4,Download our free visual desk printables,Approved,Medium,Low,Low,Yes,Yes,Yes,Yes
GD-R032,The 30-Second Movement Break,P6: SCHOOL MOMENT,Gappu & Dolly: Connect,School Teachers,Integrating sensory breaks for the whole class.,"When 30 kids get restless, don't scream 'SILENCE!'. Do the 30-second animal stretch!",Gappu & Dolly,"Teacher, Class",Classroom,Afternoon classroom restlessness and disruptive fidgeting.,Brief proprioceptive movement resets attention circuits for neurodivergent and typical kids alike.,Gappu leads the class in 'Elephant Stomps' and Dolly leads 'Dolphin Leaps'; class sits down refreshed.,30s,4,Teachers: Save this brain break game,Approved,Medium,Medium,Medium,Yes,Yes,Yes,Yes
GD-R033,The Assembly Quiet Zone,P6: SCHOOL MOMENT,Gappu & Dolly: Connect,School Principals,Inclusive morning assembly accommodations under RPwD Act 2016.,Echoing school assembly halls can feel deafening. Why one corner changes everything.,Gappu & Dolly,"Principal, Kabir",School Assembly Hall,Child crying and covering ears during morning national anthem.,Allowing sensitive students to stand at the perimeter or wear discreet ear protection preserves dignity.,Dolly guides Kabir to a quiet perimeter bench with friendly peer buddy; Kabir stands proudly.,32s,5,School Inclusion under RPwD Act 2016,CLINICAL REVIEW REQUIRED,High,Medium,Medium,Yes,Yes,Yes,Yes
GD-R034,The Lunchbox Sensory Battle,P6: SCHOOL MOMENT,Gappu & Dolly: Connect,Mothers & Teachers,Navigating school tiffin food refusal.,Why Kabir brings his school lunchbox back untouched every afternoon.,Gappu & Dolly,"Teacher, Kabir",School Canteen,"Cold, mixed, or soggy food textures in metal lunchboxes triggering sensory refusal.","Separated dry finger foods (paneer cubes, crackers, dry paratha rolls) maintain sensory appeal.",Gappu reveals the secret: Bento-style bento box with separate dry compartments. Kabir eats happily!,28s,4,Save this school tiffin formula,Approved,Low,Low,Low,Yes,Yes,Yes,Yes
GD-R035,Peer Buddy: How To Be A Great Friend,P6: SCHOOL MOMENT,Gappu & Dolly: Connect,School Students & Parents,Teaching neurotypical peers natural empathy.,You don't need to be a doctor to help Kabir. Just be his play buddy!,Gappu & Dolly,"Aarav (Peer), Kabir",Playground Bench,Peers not knowing how to initiate play with a non-speaking classmate.,"Parallel drawing, handing crayons, and smiling are valid, heartwarming friendship invitations.",Aarav offers Kabir a blue chalk; both draw an enormous road together on the sidewalk.,30s,4,True friendship speaks all languages,Approved,Medium,Low,Low,Yes,Yes,Yes,Yes
GD-R036,The Substitute Teacher Surprise,P6: SCHOOL MOMENT,Gappu & Dolly: Connect,Teachers & SEN Staff,Handling unexpected teacher absences.,A new face standing at the blackboard... why routine disruption triggers classroom panic.,Gappu & Dolly,"Substitute Teacher, Kabir",Classroom,Regular teacher on leave; child refuses to enter room and clings to doorway.,Social stories and visual photo cards of backup teachers prevent abandonment panic.,"Gappu hands Kabir a photo card: 'Today Miss Ananya visits us!'. Kabir looks, nods, and enters safely.",30s,4,Save this substitute teacher SOP,Approved,Medium,Low,Low,Yes,Yes,Yes,Yes
GD-R037,Myth: Boys Just Speak Late,P7: MYTH WITH GAPPU,Gappu & Dolly: Connect,Pan-India Parents,Busting the dangerous Indian cultural myth about boys speaking late.,"Myth: 'He's a boy, his uncle spoke at age 4, wait karo!' Gappu & Dolly bust it.",Gappu & Dolly,Dada (Grandpa),Courtyard,"Dismissing speech pauses based on old folklore, missing early neuroplasticity window.",Developmental milestones are scientifically established; persistent delays require timely clinical check.,Gappu holds up old folklore scroll; Dolly sweeps through with scientific milestone chart. Myth Busted!,30s,4,Download our 12-36M Milestone Rubric,CLINICAL REVIEW REQUIRED,Medium,Medium,Low,Yes,Yes,Yes,Yes
GD-R038,Myth: Autism Can Be Cured In 30 Days,P7: MYTH WITH GAPPU,Gappu & Dolly: Connect,Indian Parents,Crushing predatory miracle cures and quackery.,Myth: 'Guaranteed 30-Day Cure for Autism!' Why this breaks our hearts.,Gappu & Dolly,None,Studio Warning Setup,Parents being lured by predatory clinics charging lakhs for unproven stem cells or diets.,"Autism is a lifelong neurotype to be understood and supported, not an infection to be eradicated.",Red warning stamp slams on false claims; Gappu and Dolly affirm evidence-based ethical therapy.,32s,4,Autism Alliance CRR No. A56122 standards,CLINICAL REVIEW REQUIRED,Medium,Medium,Low,Yes,Yes,Yes,Yes
GD-R039,Myth: Autistic Kids Don't Feel Empathy,P7: MYTH WITH GAPPU,Gappu & Dolly: Connect,Society & Educators,Debunking the lack-of-empathy stereotype.,Myth: 'Autistic individuals don't feel emotions.' The truth will touch your soul.,Gappu & Dolly,"Kabir, Maa",Living Room,Misinterpreting flat facial affect as coldness or lack of love.,"Many autistic individuals experience hyper-empathy, absorbing the room's emotions intensely.","When mother drops a glass and looks sad, Kabir quietly brings her favorite cushion. Dolly smiles.",32s,4,"Feelings are deep, even when quiet",Approved,Medium,Low,Low,Yes,Yes,Yes,Yes
GD-R040,Myth: Screen Time Causes Autism,P7: MYTH WITH GAPPU,Gappu & Dolly: Connect,Guilt-Ridden Mothers,Separating screen-delay from genetic autism.,Myth: 'Your phone gave your child autism.' Let's talk about medical science.,Gappu & Dolly,Maa,Living Room,Relatives telling mother she broke her child's brain by allowing YouTube rhymes.,"Excessive screens cause communication delays, but biological autism has neurodevelopmental roots.",Dolly sweeps away the toxic phone guilt; Gappu shows how real-world floor play rebuilds connection.,30s,4,DM 'SCREENS' for replacement play ideas,CLINICAL REVIEW REQUIRED,Medium,Low,Low,Yes,Yes,Yes,Yes
GD-R041,"Myth: If He Doesn't Speak, He Doesn't Understand",P7: MYTH WITH GAPPU,Gappu & Dolly: Connect,All Audiences,Presuming competence in non-verbal children.,"Myth: 'He's non-verbal, so we can talk about him in front of him.' NEVER do this.",Gappu & Dolly,"Adults, Kabir",Clinic Reception,Adults speaking about a non-verbal child as if they are invisible or deaf.,"Receptive language is frequently intact; non-speaking children absorb every word, tone, and judgment.","Gappu stands beside Kabir, holding a sign: 'I understand everything!'. Dolly urges respect.",30s,4,Presume competence. Always.,Approved,Medium,Low,Low,Yes,Yes,Yes,Yes
GD-R042,Myth: Special Education Is Only For Severe Cases,P7: MYTH WITH GAPPU,Gappu & Dolly: Connect,School Parents,Demystifying remedial education and special ed.,Myth: 'Special education means my child cannot study.' It's actually a superpower!,Gappu & Dolly,"Special Educator, Kabir",Classroom,Fear that special educators segregate children from normal academic life.,Special education customizes teaching methods so the child's unique brain masters curriculum effortlessly.,Gappu uses tactile wooden letters to spell words; Kabir grins and writes the word proudly.,28s,4,Special educators bridge the gap,Approved,Low,Low,Low,Yes,Yes,Yes,Yes
GD-R043,The Inside-Out Sock Secret,P8: ONE SMALL CHANGE,Gappu & Dolly: Connect,Parents,Tactile toe seam sensitivity morning hack.,Morning shoes fight? Try this 5-second inside-out trick!,Gappu & Dolly,Kabir,Bedroom Rug,Child crying and kicking shoes off because of painful sock seams.,Inverting socks eliminates toe-seam friction and soothes tactile hyper-sensitivity.,Gappu flips the cotton sock inside-out; Kabir slips his foot in and smiles. Done!,24s,3,Save this morning peace hack,Approved,Low,Low,Low,Yes,Yes,Yes,Yes
GD-R044,The Red Visual Sand Timer,P8: ONE SMALL CHANGE,Gappu & Dolly: Connect,Parents & Teachers,Ending screen time without screaming.,TV bandh karte hi rona shuru? Introduce the magical red sand timer!,Gappu & Dolly,Kabir,Living Room TV,Abruptly switching off television triggers catastrophic transition panic.,Visual passage of time allows the brain to anticipate and prepare for the ending.,"Dolly flips a 5-minute red sand timer beside the screen; when sand finishes, Kabir clicks power off calmly.",28s,4,DM 'TIMER' for visual routines,Approved,Low,Low,Low,Yes,Yes,Yes,Yes
GD-R045,The 1.5kg Weighted Lap Pad,P8: ONE SMALL CHANGE,Gappu & Dolly: Connect,Parents of Fidgety Kids,Proprioceptive grounding for homework sitting tolerance.,Study table par restlessness? Meet the cozy weighted bean cushion.,Gappu & Dolly,Kabir,Study Table,Child constantly jumping off study chair and wriggling during homework.,Deep touch pressure on the quadriceps releases serotonin and stabilizes posture core muscles.,Gappu places a soft plush weighted bean pad across Kabir's thighs; Kabir sits comfortably and writes.,28s,4,Weighted items must be OT-prescribed,CLINICAL REVIEW REQUIRED,Low,Low,Low,Yes,Yes,Yes,Yes
GD-R046,The Firm Toilet Footstool,P8: ONE SMALL CHANGE,Gappu & Dolly: Connect,Toilet Training Families,Overcoming commode terror through pelvic foot grounding.,Why does Kabir scream on the big toilet seat? Dangling feet terror!,Gappu & Dolly,Kabir,Bathroom,Gravitational insecurity caused by feet hanging unsupported over a high porcelain commode.,"A non-slip footstool provides solid floor grounding, relaxes pelvic floor muscles, and restores safety.",Gappu slides a two-step colorful footstool under Kabir's feet; Kabir relaxes comfortably.,26s,3,Save this potty training blueprint,CLINICAL REVIEW REQUIRED,Low,Low,Low,Yes,Yes,Yes,Yes
GD-R047,The Bubble Bath Hair Wash Shield,P8: ONE SMALL CHANGE,Gappu & Dolly: Connect,Parents,Overcoming bath water terror and eye defensiveness.,Hair washing bath drama: 1 soft visor solves the water-in-eyes nightmare.,Gappu & Dolly,Kabir,Bathtub / Shower,Fear of shampoo stinging eyes and sensory water rush on face.,A soft foam crown visor channels water backward away from face and eyes.,Dolly crowns Kabir with a soft blue visor; water rinses hair while face stays 100% dry and smiling.,25s,3,Share with bath-time fighting moms,Approved,Low,Low,Low,Yes,Yes,Yes,Yes
GD-R048,The Emergency Car Sensory Pouch,P8: ONE SMALL CHANGE,Gappu & Dolly: Connect,Commuter Parents,Preventing traffic jam sensory meltdowns.,Stuck in Delhi NCR traffic with a screaming toddler? Pack this 3-item pouch.,Gappu & Dolly,None,Car Dashboard,Claustrophobia and honking horns in traffic jams causing sensory panic.,"Sour chewable candy (oral sensory grounding), noise-reduction earplugs, and a textured pop-it toy.",Gappu unzips a compact pouch showing the 3 magic items; peace restored in the backseat.,26s,3,Save for your next weekend drive,Approved,Low,Low,Low,Yes,Yes,Yes,Yes
