Priority,Name,Organisation,Category,City,Instagram,Facebook,YouTube,Website,Followers,Recent Activity,Audience,Why Relevant,Suggested Collaboration,Organic/Paid,Public Contact Route,Potential Conflict,Verification Source,Date Verified,Status
High,Department of Pediatrics,Indraprastha Apollo Hospitals,Healthcare / Hospital Network,Delhi (Sarita Vihar / Mathura Road),@apollohospitals_delhi,Apollo Hospitals Delhi,Apollo Hospitals,delhi.apollohospitals.com,100K+,"Pediatric health awareness, developmental milestone clinics",Parents across South Delhi & Faridabad border,Major tertiary hospital 7km from EOK; high patient referral flow,Clinical CMoE (Continuous Medical Education) talk with pediatricians on RCI referral pathways,Professional Clinical Referral,corporate_delhi@apollohospitals.com,In-house hospital therapy OPD; position AA as specialized multidisciplinary partner,Official Apollo hospital directory,Sep 2026,Target Identified
High,Pediatric Department,Fortis Escorts Heart & Child Institute,Healthcare,Delhi (Okhla / South Delhi),@fortis.healthcare,Fortis Escorts Okhla,Fortis Healthcare,fortishealthcare.com,250K+,"Child health checkup drives, immunization and developmental check","South Delhi, Okhla, New Friends Colony families",Located 3km from Autism Alliance East of Kailash,Pediatrician interview for Dr. Atul's YouTube masterclass,Organic Clinical Exchange,contactus.fehi@fortishealthcare.com,Corporate review process,Official Fortis website,Sep 2026,Target Identified
Medium,Manika Mishra,Mom & Baby Diaries,Parenting Creator,Delhi NCR,@momnbabydiaries,Mom n Baby Diaries,N/A,hashfame.com,95K+ (IG),"Toddler developmental activities, sensory play recipes",Mothers of children aged 1–4 years,Creates homemade sensory bins and toddler learning games,Co-created Reel: '3 Sensory play setups that build speech',Paid / Barter,momnbabydiaries@gmail.com,None,HashFame Delhi creator database,Sep 2026,Target Identified
Medium,Administrator,DELMO (Delhi Moms Group),Parent Community Network,Delhi NCR,@delhimomsclub,Delhi Moms Community (DELMO),N/A,delhimoms.com,45K+ members,"Active parent Q&A threads, doctor recommendations","Delhi, Gurgaon, Noida mothers",The primary peer recommendation group for mothers looking for therapy clinics,Moderated AMA: 'Dr. Atul Madaan answers all questions on delayed speech',Organic Community Value / Pinned Guide,Facebook group admin message / contact@delhimoms.com,Group spam rules; must be 100% educational,Facebook groups index & delhimoms.com,Sep 2026,Target Identified
High,Shweta Verma,Ginny's Planet,Social Enterprise / Child Inclusion,Delhi NCR,@ginnysplanet,Ginny's Planet,Ginny's Planet,ginnysplanet.com,10K+,"Empathy building workshops, neurodiversity storybooks","Parents, special educators, conscious families in Delhi",Specializes in teaching children empathy and neurodiversity acceptance,Joint IG Live: 'How to teach neurotypical siblings about autism',Organic Collaborative Mission,contact@ginnysplanet.com,None; beautifully aligned values,Official website ginnysplanet.com,Sep 2026,Target Identified
High,Principal / SEN Coordinator,Apeejay School Faridabad (Sector 15),School,Faridabad (Sector 15),@apeejay_faridabad,Apeejay School Sector 15 Faridabad,Apeejay Education,apeejay.edu/faridabad,18K+,"Academic excellence, primary section holistic workshops","Faridabad Sector 14, 15, 16 affluent families",Located directly opposite Crown Plaza Mall (Autism Alliance Faridabad centre),Teacher Sensitization Session: 'Early Classroom Identification of Sensory Processing Differences',Organic Educational Workshop,skool.ms.fbd@apj.edu / 0129-2285932,School admin hierarchy,Official Apeejay portal & Uniapply,Sep 2026,Target Identified
High,Principal & Counselors,Vidya Mandir Public School,School,Faridabad (Sector 15A),@vidyamandir_faridabad,Vidya Mandir Sector 15A,N/A,vidyamandir.edu.in,14K+,"Child mental health programs, parent counseling sessions",Families living in Sector 15A right next to Crown Plaza Mall,Walking distance to Autism Alliance Faridabad centre,Joint Parent Guidance Seminar on managing exam stress and hyperactivity,Organic Community Seminar,info@vidyamandir.edu.in / 0129-4089999,None,School search directory ezyschooling.com,Sep 2026,Target Identified
High,Senior Pediatric Consultant,Asian Institute of Medical Sciences (AIMS),Hospital / Healthcare,Faridabad (Sector 21A),@aims_faridabad,Asian Hospital Faridabad,Asian Hospital,aimsindia.com,40K+,"Pediatric intensive care, child health checkup camps","Parents across Faridabad, Palwal, and South Delhi",Premier hospital in Faridabad (3km from Crown Plaza Mall),Doctor-to-Doctor interview Reel: 'When should a pediatrician recommend OT?',Professional Referral / Content Collab,contact@aimsindia.com / +91 129 425 3000,Internal physical therapy unit; highlight AA's specialized autism/sensory focus,Official AIMS portal,Sep 2026,Target Identified
High,Pediatric Department Lead,Sarvodaya Hospital & Research Centre,Hospital,Faridabad (Sector 8 & Sector 19),@sarvodayahealthcare,Sarvodaya Healthcare Faridabad,Sarvodaya Healthcare,sarvodayahospital.com,60K+,"Child health milestones, NICU follow-up clinic","Wide Faridabad demographic, Greater Faridabad / Neharpar",High volume of early childhood milestone consultations,Collaborative educational post on high-risk infant developmental monitoring,Clinical Referral Network,info@sarvodayahospital.com / 1800 313 1414,None,Official Sarvodaya hospital site,Sep 2026,Target Identified
Medium,Principal,Grand Columbus International School,School,Faridabad (Sector 16A),@grandcolumbus_official,Grand Columbus International,N/A,grandcolumbus.com,10K+,"Pre-primary sensory activities, sports days","Sector 16, 17, 21 Faridabad families",High-density primary section 2km from Crown Plaza Mall,Shadow teacher and remedial educator training,Organic Training,info@grandcolumbus.com,None,Uniapply & Edustoke,Sep 2026,Target Identified
Medium,Senior Consultant,Fortis Escorts Hospital Faridabad,Healthcare,Faridabad (Neelam Bata Road),@fortis.healthcare,Fortis Hospital Faridabad,Fortis,fortishealthcare.com,250K+,"Pediatric OPD, vaccination campaigns",Central Faridabad and NIT area,Major healthcare referral anchor 3.5km from Sector 15A,Guest lecture by Dr. Atul Madaan on early ASD screening tools (M-CHAT),Professional Clinical Referral,enquiry.fbd@fortishealthcare.com,Corporate protocols,Official Fortis website,Sep 2026,Target Identified
High,Community Lead,Faridabad Moms Group,Parent Community Network,Faridabad,@faridabadmoms,Faridabad Moms Club / Community,N/A,facebook.com/groups/faridabadmoms,22K+ members,"Daily mom discussions on preschools, doctors, and activity classes",Faridabad mothers looking for trusted local child services,Direct word-of-mouth channel for Faridabad Sector 15A walk-ins,Weekly Q&A Post: 'Ask Autism Alliance Therapist Anything on Toddler Speech',Community Value / Sponsored Spotlight,Facebook group moderators / direct DM,Strict non-promotional rules; must focus purely on education,Facebook local community index,Sep 2026,Target Identified
Medium,School Head,St. Albans School,School,Faridabad (Sector 15),@stalbans_faridabad,St Albans School Faridabad,N/A,stalbans.in,7K+,"Child development workshops, primary curriculum",Sector 15 residential families,Neighboring school to Crown Plaza Mall,Free sensory screening checklist distribution to nursery parents,Organic Outreach,stalbansfbd@gmail.com,None,School registry stalbans.in,Sep 2026,Target Identified
Medium,Clinical Director,Aawaz Speech & Hearing Centre,Speech Clinic / Ally,Faridabad,@aawazspeechhearing,Aawaz Speech Centre Faridabad,N/A,aawazspeechhearing.com,5K+,"Hearing loss awareness, speech therapy tips",Faridabad parents seeking speech support,Speech delay patients often require comprehensive multidisciplinary OT and psychological care,Cross-referral clinical partnership (Audiology $\leftrightarrow$ Multidisciplinary Autism),Professional Clinical Referral,info@aawazspeechhearing.com,Competitor in standalone speech; partner in integrated OT/Psychology,Official website aawazspeechhearing.com,Sep 2026,Target Identified
Medium,Principal,GD Goenka Public School Faridabad,School,Faridabad (Sector 9),@gdgoenka_faridabad,GD Goenka Faridabad,N/A,gdgoenkafaridabad.com,12K+,"Inclusive arts, primary section parent orientation",Affluent Faridabad parents,High proportion of parents seeking private support services,Webinar for parents: 'Understanding Behavioral Triggers in Toddlers',Organic Educational Webinar,info@gdgoenkafaridabad.com,None,Uniapply & School search,Sep 2026,Target Identified
High,Principal & SEN Department,Sat Paul Mittal School,School,Ludhiana (Dugri Phase II),@satpaulmittalschool,Sat Paul Mittal School Ludhiana,Sat Paul Mittal,satpaulmittalschool.org,25K+,"Progressive pedagogy, special education inclusion department",Top industrialist and professional families in Ludhiana,Most prestigious progressive school in Ludhiana; strong special needs cell,Institutional talk by Dr. Atul Madaan: 'Neurodiversity & Giftedness in the Classroom',Organic Prestige Lecture,info@satpaulmittalschool.org / 0161-2522477,None,Official school portal,Sep 2026,Target Identified
High,Dr. Gurpreet Singh Kochar,Divine Child & Neuro Clinic,Pediatric Neurologist,Ludhiana (Kochar Market),@drgurpreetkochar,Dr Gurpreet Singh Kochar Pediatric Neurologist,N/A,medindia.net/drgurpreetkochar,10K+,"Pediatric neurology consultations, epilepsy and developmental delay management",Punjab families seeking advanced developmental diagnoses,Practicing near Kochar Market Road right beside Autism Alliance Ludhiana centre!,Joint clinical discussion: 'When does a child need a Neurologist vs Clinical Psychologist?',High-Trust Medical Referral,Clinic desk / professional referral line,None; ideal doctor-psychologist synergy,Medindia doctor directory & local clinic listings,Sep 2026,Target Identified
High,Head of Pediatrics,Dayanand Medical College & Hospital (DMCH),Medical College & Hospital,Ludhiana (Civil Lines / Tagore Nagar),@dmcludhiana_official,DMC Hospital Ludhiana,DMCH Ludhiana,dmch.edu,50K+,"Pediatric clinical research, child development OPD","Entire Punjab, Himachal, and Haryana patient catchment",The medical epicenter of Punjab; massive referral weight,Academic CMe guest lecture on parent-mediated early intervention,Academic / Professional,pediatrics@dmch.edu / 0161-4688800,Hospital bureaucracy; approach via Dr. Atul's alumni/peer networks,Official DMCH website dmch.edu,Sep 2026,Target Identified
High,Department of Pediatrics,Christian Medical College & Hospital (CMCH),Hospital,Ludhiana (Brown Road),@cmch_ludhiana,CMC Ludhiana Official,CMC Ludhiana,cmcludhiana.in,35K+,"Child health clinics, developmental surveillance programs",Ludhiana and wider Malwa region families,Historic healthcare institution in Ludhiana,Collaborative community health screening camp,Institutional Referral,director@cmcludhiana.in,None,Official CMCH portal,Sep 2026,Target Identified
Medium,Sister Principal,Sacred Heart Convent School,School,Ludhiana (Sarabha Nagar),@sacredheart_ludhiana,Sacred Heart Convent Sarabha Nagar,N/A,shcsludhiana.org,20K+,"Parenting workshops, value education drives","Sarabha Nagar, Gurdev Nagar, Model Town families",Top private convent school near Kochar Market Road,Sensory and emotional wellness session for primary teachers,Organic School Program,contact@shcsludhiana.org,Formal convent administrative approval required,Official school portal,Sep 2026,Target Identified
High,Community Lead,Ludhiana Moms Club,Parent Community Network,Ludhiana (Punjab),@ludhianamomsclub,Ludhiana Moms Club Official,N/A,facebook.com/groups/ludhianamoms,18K+ members,"Active discussions on child doctors, therapies, school admissions","Ludhiana mothers, joint families",The definitive parent community in Ludhiana for family advice,Live Q&A session with Dr. Atul Madaan on common child development questions,Community Value / Partnership,Facebook group admin / direct message,None; high demand for reliable pediatrician/psychologist insights,Facebook local community directory,Sep 2026,Target Identified
Medium,Lead Pediatrician,Dr. Harman's Kids Care Clinic,Pediatric Clinic,Ludhiana (Model Town),@drharmankidscare,Dr Harmans Kids Care Ludhiana,N/A,justdial.com/dr-harmans-kids-care,5K+,Routine immunization and toddler milestone checks,Model Town and Kochar Market families,Immediate neighborhood pediatric clinic; primary referral point,Place Autism Alliance Milestone Checklists in clinic reception,Offline Clinical Referral Exchange,Clinic reception direct visit,None,Justdial & local medical directory,Sep 2026,Target Identified
Medium,Principal,BCM Arya Model Senior Secondary School,School,Ludhiana (Shastri Nagar),@bcmaryaschool,BCM Arya Ludhiana,BCM Arya Official,bcmarya.org,22K+,"Large student body events, holistic child counseling",Broad Ludhiana middle and upper-middle class families,Major educational institution near Kochar Market Road,School counselor capacity building workshop on ADHD/ASD screening,Organic Workshop,bcmarya@bcmarya.org,None,School portal bcmarya.org,Sep 2026,Target Identified
Medium,Senior Pediatrician,Divine Child & ENT Clinic,Pediatric & ENT Practice,Ludhiana (Kochar Market),N/A,Divine Child Clinic Ludhiana,N/A,justdial.com/divine-child-clinic-ludhiana,Local OPD Patients,Hearing checks and infant health checkups,Local Kochar Market and Green Field families,Shares the exact street and catchment with Autism Alliance Ludhiana centre,Reciprocal referral for speech-delay and audiology evaluation,Local Referral Partnership,Direct clinic walk-in / doctor connection,None,Local healthcare directory,Sep 2026,Target Identified
Medium,Principal,Kundan Vidya Mandir (KVM),School,Ludhiana (Civil Lines),@kvm_ludhiana,Kundan Vidya Mandir,KVM Ludhiana,kundanvidyamandir.com,15K+,"Inclusive education drives, primary remedial teaching",Civil Lines and central Ludhiana residents,One of Ludhiana's oldest and most respected private schools,Teacher seminar on creating sensory-friendly classroom desks,Organic Seminar,kvm@kundanvidyamandir.com,None,School portal,Sep 2026,Target Identified
High,Mansi Zaveri,Kidsstoppress (KSP Podcast),Top National Parenting Podcast & Media,Mumbai / National,@kidsstoppress,Kidsstoppress,Kidsstoppress,kidsstoppress.com,600K+ across platforms,"Hosts top pediatricians, child psychologists, modern parenting talks","Affluent, educated Indian parents seeking science-backed child advice",India's #1 trusted parenting podcast; high conversion for developmental topics,Feature Dr. Atul Madaan on KSP Podcast: 'The Truth About Autism in India Today',Editorial / Guest Appearance / Sponsored Episode,mansi@kidsstoppress.com / contact@kidsstoppress.com,Requires strong editorial pitch showing unique parent-first angle,Kidsstoppress.com & Spotify top charts,Sep 2026,Target Identified
High,Dr. Vibha Krishnamurthy,Parenting Aaj Kal / Ummeed CDC,Developmental Pediatrician & Podcaster,Mumbai / National,@ummeedcdc,Ummeed Child Development Center,Parenting Aaj Kal,ummeed.org,40K+,"Honest Hindi podcast conversations on autism, early intervention, and inclusion","Special-needs parents, clinicians, social workers across India",Gold standard of ethical developmental pediatrics in India; host of Parenting Aaj Kal,Guest conversation between Dr. Vibha & Dr. Atul: 'Parent-Mediated Intervention in Indian Homes',Strictly Organic Peer Exchange,info@ummeed.org / podcast@ummeed.org,None; utmost mutual clinical respect,Ummeed.org & YouTube channel 'Parenting Aaj Kal',Sep 2026,Target Identified
High,Gunjan Taneja,Gunjan Talks / GunjanShouts,"Health, Wellness & Parenting Podcast",Delhi NCR / National,@gunjanshouts,GunjanShouts,Gunjan Talks,youtube.com/@GunjanTalks,1.8M+ (YT),"Hosts pediatricians on toddler nutrition, screen addiction, child mental health",Mass Indian family audience; millions of young mothers,High-reach studio podcast with massive distribution for health professionals,Dr. Atul Madaan on Gunjan Talks: 'Screen Addiction vs Autism: 5 Signs Every Parent Must Know',Guest Appearance / Co-production,business@gunjantaneja.com,High viewership threshold; pitch must focus on viral search queries,YouTube verified channel Gunjan Talks,Sep 2026,Target Identified
High,Ranveer Allahbadia,The Ranveer Show (TRS),Top National Podcast,Mumbai / National,@beerbiceps,BeerBiceps,The Ranveer Show,beerbiceps.com,7M+ (YT),Regularly invites pediatricians (e.g. Dr. Arpit Gupta) and mental health doctors,"Massive pan-India audience, young couples, parents",Single appearance on TRS can generate 1M+ views and instant national authority,Dr. Atul Madaan on TRS Hindi: 'The Hidden Epidemic of Autism & Child Development in India',Editorial Guest Pitch,team@beerbiceps.com,Highly selective guest curation; requires high credibility deck,YouTube TRS channel,Sep 2026,Target Identified
Medium,Raj Shamani,Figuring Out Podcast,Top Business & Society Podcast,Mumbai / National,@rajshamani,Raj Shamani,Raj Shamani,rajshamani.com,4M+ (YT),Has hosted developmental pediatricians (Dr. Samir Dalwai) on brain development & autism,"Entrepreneurs, millennial parents, young families",High engagement on child psychology and neurodiversity topics,Discussion on 'How Modern Indian Lifestyles Are Impacting Toddler Brain Development',Guest Pitch,business@rajshamani.com,Requires strong business/lifestyle hook,YouTube Figuring Out episode archives,Sep 2026,Target Identified
High,Dr. Arpit Gupta,Pediatrician & Creator,Pediatric Medical Creator,National,@dr.arpitgupta,Dr Arpit Gupta Pediatrics,Dr Arpit Gupta,youtube.com,300K+,"Viral, science-backed pediatric reels on early development and health",Parents of infants and toddlers across India,Trusted pediatric face on podcasts like TRS; advocates early intervention,Joint IG Live: 'From Pediatric Clinic to Child Psychologist: The Referral Timeline',Organic Peer Exchange,Official Instagram bio email,None,Instagram verified creator profile,Sep 2026,Target Identified
High,Dr. Samir Dalwai,Developmental Pediatrician & Author,Medical Authority,Mumbai / National,@drsamirdalwai,Dr Samir Dalwai,N/A,newhorizonschild.com,25K+,"National speaker on screen time, child rights, and developmental delays","Doctors, pediatricians, special-needs parents",One of India's foremost advocates on screen-time delay vs autism,Collaborative Webinar: 'Screen Addiction vs Autism: Differential Diagnosis in 2026',Professional Academic Exchange,info@newhorizonschild.com,None,Indian Academy of Pediatrics (IAP) directory,Sep 2026,Target Identified
Medium,Pratiksha Gupta,1SpecialPlace,Speech Therapy Platform,National / Online,@1specialplace,1SpecialPlace,1SpecialPlace,1specialplace.com,45K+,"Speech therapy checklists, AAC guides, parent webinars",Parents seeking speech and tele-therapy,Pioneer in online speech therapy resources in India,Joint educational carousel on bilingual speech development in Indian homes,Organic Cross-Promotion,info@1specialplace.com,Competitor in online therapy; collaborate strictly on awareness topics,Official website 1specialplace.com,Sep 2026,Target Identified
Medium,Maitri Verma,Little Fixes Podcast,Parenting & Lifestyle Podcast,Delhi NCR / National,@littlefixespodcast,Little Fixes Podcast,Little Fixes,littlefixespodcast.com,30K+,"Practical parenting hacks, maternal well-being, everyday challenges",Urban Indian mothers navigating toddler and school-age challenges,"Warm, accessible format focusing on practical solutions for Indian mothers",Podcast Episode with Dr. Atul: 'Gentle Parenting for the High-Energy Child',Organic Guest Interview,littlefixespodcast@gmail.com,None,Spotify podcast directory & Instagram,Sep 2026,Target Identified
High,Editorial Lead,Momspresso Hindi & English,Digital Media & Community,National (Delhi NCR HQ),@momspresso,Momspresso,Momspresso Hindi,momspresso.com,2M+ across platforms,"Expert video series on child health, parenting blogs, mom forums","Millions of Indian mothers across tier 1, 2, and 3 cities",Massive community trust; regular video features with pediatric experts,Dr. Atul Madaan invited as guest expert for video series on 'Understanding Toddler Tantrums',Editorial Feature / Video Partnership,support@momspresso.com,High submission queue; requires direct PR outreach,Momspresso.com official platform,Sep 2026,Target Identified
Medium,Dr. Sid Warrier,Neurologist & Creator,Neuroscience & Mental Health Creator,National,@thedrsidwarrier,Dr Sid Warrier,Dr. Sid Warrier,youtube.com/@DrSidWarrier,180K+ (YT),"Conversations on neuroscience, neurodiversity, ADHD and brain plasticity","Curious, educated audiences, parents, psychology students",Explains brain science with incredible clarity; perfect match for Dr. Atul,YouTube conversation: 'The Neurobiology of Autism: How the Spectrum Brain Processes the World',Organic Intellectual Exchange,sidwarrier.neuro@gmail.com,None,YouTube verified channel & Instagram,Sep 2026,Target Identified
