Date,Week,Day,Platform,Format,Content ID,Pillar,Series,Topic,Exact Hook,Speaker,Centre,City,Language,Goal,Funnel Stage,Duration,Primary CTA,Secondary CTA,Required Shots,B-Roll,Collaboration,Organic Test,Paid Eligible,Repurpose Source,Status,Notes
Day 11 (Thu),Week 2,Thursday,"Instagram, YouTube, Facebook",Reel / Short,AA-PUB-011,P9: Autism Alliance NCR,AA | NCR Hub,Inside Autism Alliance Faridabad: Sector 15A Tour,Inside Crown Plaza Mall Sector 15A: Dekhiye Autism Alliance Faridabad centre andar se kaisa dikhta hai.,Centre Lead Faridabad,Faridabad,Faridabad,Hindi/Hinglish,"Reach, Education & Local Trust",Discovery to Conversion,32 sec,Save this post and DM 'CONNECT' to speak with our clinical intake team.,"Visit Autism Alliance in East of Kailash, Faridabad, or Ludhiana.",Close-up eye contact + therapist hands-on demo.,Authentic activity B-roll filmed at Autism Alliance Faridabad.,Local NCR parenting page / school partner where applicable,Yes (Track 24h metrics),Yes (If shares/reach > 3.0%),Faridabad Batch Filming,Planned,Scheduled for Week 2 execution.
Day 12 (Fri),Week 2,Friday,"Instagram, YouTube, Facebook",Reel / Short,AA-PUB-012,P2: Parent Asked. Therapist Shows.,AA | One Activity,Speech Therapy Without Words: How PECS Cards Work,"Agar bachha bolta nahi hai, toh apni baat kaise kahe? Picture Exchange Communication dekhiye.",Special Educator & OT,Delhi EOK,Delhi,Hindi/Hinglish,"Reach, Education & Local Trust",Discovery to Conversion,28 sec,Save this post and DM 'CONNECT' to speak with our clinical intake team.,"Visit Autism Alliance in East of Kailash, Faridabad, or Ludhiana.",Close-up eye contact + therapist hands-on demo.,Authentic activity B-roll filmed at Autism Alliance Delhi EOK.,Local NCR parenting page / school partner where applicable,Yes (Track 24h metrics),Yes (If shares/reach > 3.0%),Delhi EOK Batch Filming,Planned,Scheduled for Week 2 execution.
Day 13 (Sat),Week 2,Saturday,YouTube (Long-Form) + IG/FB Cut,YouTube Long-Form + Promo Reel,AA-PUB-013,P1: Dr. Atul Explains,AA | Inside Centre,YT Masterclass 2: Understanding ABA & Behavior Support in India,YT: 'What Is ABA Therapy? Clinical Reality vs Internet Myths' | 12 Min Deep Dive.,Dr. Atul Madaan,Delhi EOK,Delhi,Hindi/Hinglish,"Reach, Education & Local Trust",Discovery to Conversion,11:30 min,Save this post and DM 'CONNECT' to speak with our clinical intake team.,"Visit Autism Alliance in East of Kailash, Faridabad, or Ludhiana.",Close-up eye contact + therapist hands-on demo.,Authentic activity B-roll filmed at Autism Alliance Delhi EOK.,Local NCR parenting page / school partner where applicable,Yes (Track 24h metrics),Yes (If shares/reach > 3.0%),Delhi EOK Batch Filming,Planned,Scheduled for Week 2 execution.
Day 14 (Sun),Week 2,Sunday,"Instagram, YouTube, Facebook",Reel / Short,AA-PUB-014,P10: Parent Questions & Q&A,AA | Sunday Q&A,Sunday Q&A: 'Does Screen Time Actually Cause Autism?',Sabse controversial sawaal: Kya mobile phone screen time se autism ho sakta hai? Dr. Atul clarifies.,Dr. Atul Madaan,Delhi EOK,Delhi,Hindi/Hinglish,"Reach, Education & Local Trust",Discovery to Conversion,42 sec,Save this post and DM 'CONNECT' to speak with our clinical intake team.,"Visit Autism Alliance in East of Kailash, Faridabad, or Ludhiana.",Close-up eye contact + therapist hands-on demo.,Authentic activity B-roll filmed at Autism Alliance Delhi EOK.,Local NCR parenting page / school partner where applicable,Yes (Track 24h metrics),Yes (If shares/reach > 3.0%),Delhi EOK Batch Filming,Planned,Scheduled for Week 2 execution.
Day 15 (Mon),Week 3,Monday,"Instagram, YouTube, Facebook",Reel / Short,AA-PUB-015,P9: Autism Alliance NCR,AA | Therapist Shows,Sensory Overload in a South Delhi Mall,Market ya mall me bachha achanak kaan band karke chillane lage? Sensory overload ka 3-step solution.,Senior Occupational Therapist,Faridabad,Faridabad,Hindi/Hinglish,"Reach, Education & Local Trust",Discovery to Conversion,33 sec,Save this post and DM 'CONNECT' to speak with our clinical intake team.,"Visit Autism Alliance in East of Kailash, Faridabad, or Ludhiana.",Close-up eye contact + therapist hands-on demo.,Authentic activity B-roll filmed at Autism Alliance Faridabad.,Local NCR parenting page / school partner where applicable,Yes (Track 24h metrics),Yes (If shares/reach > 3.0%),Faridabad Batch Filming,Planned,Scheduled for Week 3 execution.
Day 16 (Tue),Week 3,Tuesday,"Instagram, Facebook",Carousel,AA-PUB-016,P1: Dr. Atul Explains,AA | Dr. Atul Explains,The 18-Month Red Flags Checklist Every Indian Parent Needs,18 mahine pe ye 5 cheezein dekhna zaroori hai. Save this before your next pediatrician visit.,Autism Alliance Clinical Team,Delhi EOK,Delhi,Hindi/Hinglish,"Reach, Education & Local Trust",Discovery to Conversion,9 Slides Carousel,Save this post and DM 'CONNECT' to speak with our clinical intake team.,"Visit Autism Alliance in East of Kailash, Faridabad, or Ludhiana.",Close-up eye contact + therapist hands-on demo.,Authentic activity B-roll filmed at Autism Alliance Delhi EOK.,Local NCR parenting page / school partner where applicable,Yes (Track 24h metrics),Yes (If shares/reach > 3.0%),Delhi EOK Batch Filming,Planned,Scheduled for Week 3 execution.
Day 17 (Wed),Week 3,Wednesday,"Instagram, YouTube, Facebook",Reel / Short,AA-PUB-017,P2: Parent Asked. Therapist Shows.,AA | 30 Sec Parents,Teaching Spoon Feeding: An OT Sensory Breakdown,Bachha spoon pakadne se mana karta hai ya messy eater hai? OT therapist explains tactile sensitivity.,Speech Therapist,Ludhiana,Ludhiana,Hindi/Hinglish,"Reach, Education & Local Trust",Discovery to Conversion,30 sec,Save this post and DM 'CONNECT' to speak with our clinical intake team.,"Visit Autism Alliance in East of Kailash, Faridabad, or Ludhiana.",Close-up eye contact + therapist hands-on demo.,Authentic activity B-roll filmed at Autism Alliance Ludhiana.,Local NCR parenting page / school partner where applicable,Yes (Track 24h metrics),Yes (If shares/reach > 3.0%),Ludhiana Batch Filming,Planned,Scheduled for Week 3 execution.
Day 18 (Thu),Week 3,Thursday,"Instagram, YouTube, Facebook",Reel / Short,AA-PUB-018,P1: Dr. Atul Explains,AA | NCR Hub,Name Response Milestone: When to Act,9 se 12 mahine me naam sun kar mudna natural hai. Agar 18 mahine tak nahi mude toh wait mat karein.,Dr. Atul Madaan,Faridabad,Faridabad,Hindi/Hinglish,"Reach, Education & Local Trust",Discovery to Conversion,34 sec,Save this post and DM 'CONNECT' to speak with our clinical intake team.,"Visit Autism Alliance in East of Kailash, Faridabad, or Ludhiana.",Close-up eye contact + therapist hands-on demo.,Authentic activity B-roll filmed at Autism Alliance Faridabad.,Local NCR parenting page / school partner where applicable,Yes (Track 24h metrics),Yes (If shares/reach > 3.0%),Faridabad Batch Filming,Planned,Scheduled for Week 3 execution.
Day 19 (Fri),Week 3,Friday,"Instagram, YouTube, Facebook",Reel / Short,AA-PUB-019,P5: One Activity. Many Skills.,AA | One Activity,"One Sensory Bin, 4 Developmental Skills","Ek daal aur chawal ke bowl se 4 skills: Pincer grasp, tactile desensitization, vocabulary, aur focus.",Special Educator & OT,Delhi EOK,Delhi,Hindi/Hinglish,"Reach, Education & Local Trust",Discovery to Conversion,29 sec,Save this post and DM 'CONNECT' to speak with our clinical intake team.,"Visit Autism Alliance in East of Kailash, Faridabad, or Ludhiana.",Close-up eye contact + therapist hands-on demo.,Authentic activity B-roll filmed at Autism Alliance Delhi EOK.,Local NCR parenting page / school partner where applicable,Yes (Track 24h metrics),Yes (If shares/reach > 3.0%),Delhi EOK Batch Filming,Planned,Scheduled for Week 3 execution.
Day 20 (Sat),Week 3,Saturday,YouTube (Long-Form) + IG/FB Cut,YouTube Long-Form + Promo Reel,AA-PUB-020,P1: Dr. Atul Explains,AA | Inside Centre,YT Masterclass 3: Sensory Processing Disorder vs Autism,YT: 'Sensory Processing Issues or Autism? How to Spot the Difference' with Full Demonstrations.,Dr. Atul Madaan,Delhi EOK,Delhi,Hindi/Hinglish,"Reach, Education & Local Trust",Discovery to Conversion,12:15 min,Save this post and DM 'CONNECT' to speak with our clinical intake team.,"Visit Autism Alliance in East of Kailash, Faridabad, or Ludhiana.",Close-up eye contact + therapist hands-on demo.,Authentic activity B-roll filmed at Autism Alliance Delhi EOK.,Local NCR parenting page / school partner where applicable,Yes (Track 24h metrics),Yes (If shares/reach > 3.0%),Delhi EOK Batch Filming,Planned,Scheduled for Week 3 execution.
Day 21 (Sun),Week 3,Sunday,"Instagram, YouTube, Facebook",Reel / Short,AA-PUB-021,P10: Parent Questions & Q&A,AA | Sunday Q&A,Sunday Q&A: 'Can Autism Be Cured With Supplements or Diet?',DMs me supplements aur miracle diets ke baare me pucha gaya. Yahan clinical scientific truth.,Dr. Atul Madaan,Delhi EOK,Delhi,Hindi/Hinglish,"Reach, Education & Local Trust",Discovery to Conversion,40 sec,Save this post and DM 'CONNECT' to speak with our clinical intake team.,"Visit Autism Alliance in East of Kailash, Faridabad, or Ludhiana.",Close-up eye contact + therapist hands-on demo.,Authentic activity B-roll filmed at Autism Alliance Delhi EOK.,Local NCR parenting page / school partner where applicable,Yes (Track 24h metrics),Yes (If shares/reach > 3.0%),Delhi EOK Batch Filming,Planned,Scheduled for Week 3 execution.
Day 22 (Mon),Week 4,Monday,"Instagram, YouTube, Facebook",Reel / Short,AA-PUB-022,P8: Parent Training Program,AA | Therapist Shows,School Readiness: Will a Regular School Admit My Child?,Autism Alliance Special Educator explains: RTE Act aur inclusive education me aapke bachhe ke rights.,Senior Occupational Therapist,Faridabad,Faridabad,Hindi/Hinglish,"Reach, Education & Local Trust",Discovery to Conversion,36 sec,Save this post and DM 'CONNECT' to speak with our clinical intake team.,"Visit Autism Alliance in East of Kailash, Faridabad, or Ludhiana.",Close-up eye contact + therapist hands-on demo.,Authentic activity B-roll filmed at Autism Alliance Faridabad.,Local NCR parenting page / school partner where applicable,Yes (Track 24h metrics),Yes (If shares/reach > 3.0%),Faridabad Batch Filming,Planned,Scheduled for Week 4 execution.
Day 23 (Tue),Week 4,Tuesday,"Instagram, YouTube, Facebook",Reel / Short,AA-PUB-023,P1: Dr. Atul Explains,AA | Dr. Atul Explains,Toe Walking in Toddlers: Sensory Seeking or Muscle Tightness?,Aapka bachha panjon ke bal chalta hai? Toe walking ke 2 clinical reasons jo parents ko pata hone chahiye.,Dr. Atul Madaan,Delhi EOK,Delhi,Hindi/Hinglish,"Reach, Education & Local Trust",Discovery to Conversion,31 sec,Save this post and DM 'CONNECT' to speak with our clinical intake team.,"Visit Autism Alliance in East of Kailash, Faridabad, or Ludhiana.",Close-up eye contact + therapist hands-on demo.,Authentic activity B-roll filmed at Autism Alliance Delhi EOK.,Local NCR parenting page / school partner where applicable,Yes (Track 24h metrics),Yes (If shares/reach > 3.0%),Delhi EOK Batch Filming,Planned,Scheduled for Week 4 execution.
Day 24 (Wed),Week 4,Wednesday,"Instagram, YouTube, Facebook",Reel / Short,AA-PUB-024,P2: Parent Asked. Therapist Shows.,AA | 30 Sec Parents,Deep Pressure Therapy Using Weighted Blankets & Pillows,"Proprioceptive input: Jab bachha restless ho, toh deep pressure calming effect kaise deta hai.",Speech Therapist,Ludhiana,Ludhiana,Hindi/Hinglish,"Reach, Education & Local Trust",Discovery to Conversion,27 sec,Save this post and DM 'CONNECT' to speak with our clinical intake team.,"Visit Autism Alliance in East of Kailash, Faridabad, or Ludhiana.",Close-up eye contact + therapist hands-on demo.,Authentic activity B-roll filmed at Autism Alliance Ludhiana.,Local NCR parenting page / school partner where applicable,Yes (Track 24h metrics),Yes (If shares/reach > 3.0%),Ludhiana Batch Filming,Planned,Scheduled for Week 4 execution.
Day 25 (Thu),Week 4,Thursday,"Instagram, YouTube, Facebook",Reel / Short,AA-PUB-025,P9: Autism Alliance NCR,AA | NCR Hub,Autism Alliance East of Kailash: Inside Our Therapy Rooms,"East of Kailash Main Road par hamara centre: Sensory gym, individual speech cabins, aur parent lounge.",Centre Lead Faridabad,Faridabad,Faridabad,Hindi/Hinglish,"Reach, Education & Local Trust",Discovery to Conversion,33 sec,Save this post and DM 'CONNECT' to speak with our clinical intake team.,"Visit Autism Alliance in East of Kailash, Faridabad, or Ludhiana.",Close-up eye contact + therapist hands-on demo.,Authentic activity B-roll filmed at Autism Alliance Faridabad.,Local NCR parenting page / school partner where applicable,Yes (Track 24h metrics),Yes (If shares/reach > 3.0%),Faridabad Batch Filming,Planned,Scheduled for Week 4 execution.
Day 26 (Fri),Week 4,Friday,"Instagram, YouTube, Facebook",Reel / Short,AA-PUB-026,P3: 30 Seconds For Parents,AA | One Activity,"Selective Eating: When It's Sensory, Not Stubbornness","Bachha sirf crunch ya white food khata hai? Ye zidd nahi, oral-sensory texture aversion hai.",Special Educator & OT,Delhi EOK,Delhi,Hindi/Hinglish,"Reach, Education & Local Trust",Discovery to Conversion,35 sec,Save this post and DM 'CONNECT' to speak with our clinical intake team.,"Visit Autism Alliance in East of Kailash, Faridabad, or Ludhiana.",Close-up eye contact + therapist hands-on demo.,Authentic activity B-roll filmed at Autism Alliance Delhi EOK.,Local NCR parenting page / school partner where applicable,Yes (Track 24h metrics),Yes (If shares/reach > 3.0%),Delhi EOK Batch Filming,Planned,Scheduled for Week 4 execution.
Day 27 (Sat),Week 4,Saturday,YouTube (Long-Form) + IG/FB Cut,YouTube Long-Form + Promo Reel,AA-PUB-027,P8: Parent Training Program,AA | Inside Centre,YT Masterclass 4: Complete Guide to RCI Disability Certificate & UDID,"YT: 'How to Apply for UDID & Autism Disability Certificate in India: Documents, Hospitals & Process'.",Dr. Atul Madaan,Delhi EOK,Delhi,Hindi/Hinglish,"Reach, Education & Local Trust",Discovery to Conversion,13:45 min,Save this post and DM 'CONNECT' to speak with our clinical intake team.,"Visit Autism Alliance in East of Kailash, Faridabad, or Ludhiana.",Close-up eye contact + therapist hands-on demo.,Authentic activity B-roll filmed at Autism Alliance Delhi EOK.,Local NCR parenting page / school partner where applicable,Yes (Track 24h metrics),Yes (If shares/reach > 3.0%),Delhi EOK Batch Filming,Planned,Scheduled for Week 4 execution.
Day 28 (Sun),Week 4,Sunday,"Instagram, YouTube, Facebook",Reel / Short,AA-PUB-028,P10: Parent Questions & Q&A,AA | Sunday Q&A,Sunday Q&A: 'How Many Months Does Speech Therapy Take?',Sach aur jhooth: Speech therapy me progress kab dikhti hai? Dr. Atul explains realistic milestones.,Dr. Atul Madaan,Delhi EOK,Delhi,Hindi/Hinglish,"Reach, Education & Local Trust",Discovery to Conversion,44 sec,Save this post and DM 'CONNECT' to speak with our clinical intake team.,"Visit Autism Alliance in East of Kailash, Faridabad, or Ludhiana.",Close-up eye contact + therapist hands-on demo.,Authentic activity B-roll filmed at Autism Alliance Delhi EOK.,Local NCR parenting page / school partner where applicable,Yes (Track 24h metrics),Yes (If shares/reach > 3.0%),Delhi EOK Batch Filming,Planned,Scheduled for Week 4 execution.
Day 29 (Mon),Week 5,Monday,"Instagram, YouTube, Facebook",Reel / Short,AA-PUB-029,P1: Dr. Atul Explains,AA | Therapist Shows,Collaboration Reel: Pediatrician × Dr. Atul Madaan,Pediatrician asks: 'OPD me doctor kab recommend kare ki developmental assessment karwayein?',Dr. Atul Madaan,Faridabad,Faridabad,Hindi/Hinglish,"Reach, Education & Local Trust",Discovery to Conversion,38 sec,Save this post and DM 'CONNECT' to speak with our clinical intake team.,"Visit Autism Alliance in East of Kailash, Faridabad, or Ludhiana.",Close-up eye contact + therapist hands-on demo.,Authentic activity B-roll filmed at Autism Alliance Faridabad.,Local NCR parenting page / school partner where applicable,Yes (Track 24h metrics),Yes (If shares/reach > 3.0%),Faridabad Batch Filming,Planned,Scheduled for Week 5 execution.
Day 30 (Tue),Week 5,Tuesday,"Instagram, Facebook",Carousel,AA-PUB-030,P8: Parent Training Program,AA | Dr. Atul Explains,How to Talk to Relatives About Your Child's Diagnosis,"Rishtedaar kahein 'kuch nahi hua, sab theek ho jayega'? Parents ke liye 3 calm boundary scripts.",Autism Alliance Clinical Team,Delhi EOK,Delhi,Hindi/Hinglish,"Reach, Education & Local Trust",Discovery to Conversion,7 Slides Carousel,Save this post and DM 'CONNECT' to speak with our clinical intake team.,"Visit Autism Alliance in East of Kailash, Faridabad, or Ludhiana.",Close-up eye contact + therapist hands-on demo.,Authentic activity B-roll filmed at Autism Alliance Delhi EOK.,Local NCR parenting page / school partner where applicable,Yes (Track 24h metrics),Yes (If shares/reach > 3.0%),Delhi EOK Batch Filming,Planned,Scheduled for Week 5 execution.
Day 31 (Wed),Week 5,Wednesday,"Instagram, YouTube, Facebook",Reel / Short,AA-PUB-031,P2: Parent Asked. Therapist Shows.,AA | 30 Sec Parents,Fine Motor Pincer Grasp Activities at Home,Writing aur pencil grip ke liye pehle ye pegboard aur clothespin activities zaroori hain.,Speech Therapist,Ludhiana,Ludhiana,Hindi/Hinglish,"Reach, Education & Local Trust",Discovery to Conversion,30 sec,Save this post and DM 'CONNECT' to speak with our clinical intake team.,"Visit Autism Alliance in East of Kailash, Faridabad, or Ludhiana.",Close-up eye contact + therapist hands-on demo.,Authentic activity B-roll filmed at Autism Alliance Ludhiana.,Local NCR parenting page / school partner where applicable,Yes (Track 24h metrics),Yes (If shares/reach > 3.0%),Ludhiana Batch Filming,Planned,Scheduled for Week 5 execution.
Day 32 (Thu),Week 5,Thursday,"Instagram, YouTube, Facebook",Reel / Short,AA-PUB-032,P1: Dr. Atul Explains,AA | NCR Hub,Echolalia: When Your Child Repeats Words Back,Bachha sawaal ka jawaab dene ke badle sawaal hi repeat karta hai? Echolalia communication ka pehla step hai.,Dr. Atul Madaan,Faridabad,Faridabad,Hindi/Hinglish,"Reach, Education & Local Trust",Discovery to Conversion,34 sec,Save this post and DM 'CONNECT' to speak with our clinical intake team.,"Visit Autism Alliance in East of Kailash, Faridabad, or Ludhiana.",Close-up eye contact + therapist hands-on demo.,Authentic activity B-roll filmed at Autism Alliance Faridabad.,Local NCR parenting page / school partner where applicable,Yes (Track 24h metrics),Yes (If shares/reach > 3.0%),Faridabad Batch Filming,Planned,Scheduled for Week 5 execution.
Day 33 (Fri),Week 5,Friday,"Instagram, YouTube, Facebook",Reel / Short,AA-PUB-033,P6: Inside Autism Alliance,AA | One Activity,Ludhiana Centre Spotlight: Green Field Kochar Market Hub,Ludhiana ke dil me: Dr. Atul Madaan ke guidance me chalta hamara established clinical therapy hub.,Special Educator & OT,Delhi EOK,Delhi,Hindi/Hinglish,"Reach, Education & Local Trust",Discovery to Conversion,30 sec,Save this post and DM 'CONNECT' to speak with our clinical intake team.,"Visit Autism Alliance in East of Kailash, Faridabad, or Ludhiana.",Close-up eye contact + therapist hands-on demo.,Authentic activity B-roll filmed at Autism Alliance Delhi EOK.,Local NCR parenting page / school partner where applicable,Yes (Track 24h metrics),Yes (If shares/reach > 3.0%),Delhi EOK Batch Filming,Planned,Scheduled for Week 5 execution.
Day 34 (Sat),Week 5,Saturday,YouTube (Long-Form) + IG/FB Cut,YouTube Long-Form + Promo Reel,AA-PUB-034,P1: Dr. Atul Explains,AA | Inside Centre,"YT Masterclass 5: Echolalia, Non-Verbal Autism & Communication Pathways",YT: 'From Repeating Words to Meaningful Speech: The Echolalia Guide for Parents'.,Dr. Atul Madaan,Delhi EOK,Delhi,Hindi/Hinglish,"Reach, Education & Local Trust",Discovery to Conversion,11:20 min,Save this post and DM 'CONNECT' to speak with our clinical intake team.,"Visit Autism Alliance in East of Kailash, Faridabad, or Ludhiana.",Close-up eye contact + therapist hands-on demo.,Authentic activity B-roll filmed at Autism Alliance Delhi EOK.,Local NCR parenting page / school partner where applicable,Yes (Track 24h metrics),Yes (If shares/reach > 3.0%),Delhi EOK Batch Filming,Planned,Scheduled for Week 5 execution.
