Date,Format,Topic,Exact_Title,Hook,Presenter,Duration,Search_Intent,Primary_Keyword,Thumbnail_Text,CTA,Shorts_Extracted,Related_Long_Video,Clinical_Review,Status
2026-09-20,YouTube Live (Parent Interactive Q&A),Live Parent Clinic & Consultation,"Live Sunday Clinic: Ask Dr. Atul Madaan Anything on Speech, Behavior & Meltdowns (Live Q&A Ep 2)",Aaj sham 5 baje live judein aur apne bachhe ke behavioral challenges par seedha consult karein.,Dr. Atul Madaan,55:00,High (Community / Live),autism live question answer,LIVE Q&A with Dr. Atul,Ask your question in Live Chat / Super Chat,Live Clips 1 & 2,Self (Anchor),Approved,Scheduled
2026-09-21,YouTube Short (Gappu & Dolly Animated),Animated Empathy: Stimming in Autism,Gappu Ko Mixer Ki Awaaz Itni Loud Kyun Lagi? #GappuDolly #stimminginautismhindi,"Dolly, jab mixer chalti hai toh Kabir kaan kyu band kar leta hai?",Gappu & Dolly (Animated),0:35,High (Discovery),stimming in autism hindi,Mixer Se Darr Kyu?,Watch full video linked below,N/A (Native),"Stimming in Autism: Hand Flapping, Rocking & Tapping Kyu Hota Hai?",Approved,Scheduled
2026-09-22,YouTube Short (Tactical Doctor/Therapist),Quick Insight: Stimming in Autism,Speech Delay vs Autism: 1 Simple Observation Jo 90% Parents Miss Karte Hain! #Shorts,"Agar aapka 2 saal ka bachha bolta nahi hai, toh sabse pehle ye ek cheez check kijiye...",Dr. Atul Madaan,0:42,High (Shorts Feed),stimming in autism hindi,Missed Sign!,Full explanation in linked video,Extracted from Long-Form,"Stimming in Autism: Hand Flapping, Rocking & Tapping Kyu Hota Hai?",Approved,Scheduled
2026-09-23,Long-Form Video (Masterclass),"Stimming in Autism: Hand Flapping, Rocking & Tapping Kyu Hota Hai?","Stimming in Autism: Hand Flapping, Rocking & Tapping Kyu Hota Hai? | Complete Guide by Dr. Atul Madaan",Stimming ko rokna chahiye ya encourage karna chahiye? Samjhiye nervous system ka role.,Dr. Atul Madaan,13:50,High (Browse),stimming in autism hindi,Stop Stopping Stims!,Save this guide for family members,"Short-10, Short-11, Short-12",Self (Anchor),Approved,Scheduled
2026-09-24,YouTube Short (Parent Q&A),Parent FAQ: Echolalia & Gestalt Language,Kya Hand Flapping Ko Rokna Chahiye? Doctor Explains #Shorts #AutismIndia,"Parent ne pucha: 'Sir, mera beta khushi me hath hilata hai, kya ye normal hai?'",Dr. Atul Madaan,0:38,Medium (Shorts),hand flapping in autism,Stop Flapping?,Subscribe & watch related masterclass,Extracted from Long-Form,Echolalia & Gestalt Language: Cartoon Dialogues Repeat Kyu Karte Hain?,Approved,Scheduled
2026-09-25,YouTube Short (Therapist Demonstration),Sensory Gym / OT Demonstration,Inside Our East of Kailash Sensory Gym: Swings Therapy Kyu Hoti Hain? #Shorts,Ye platform swing playground ka jhoola nahi hai... ye inner ear balance exercise hai!,Lead Occupational Therapist (Autism Alliance),0:45,High (Visual),occupational therapy sensory gym,Sensory Gym Secret,"Visit Delhi, Faridabad, Ludhiana centres",Native Clinic Shoot,Echolalia & Gestalt Language: Cartoon Dialogues Repeat Kyu Karte Hain?,Approved,Scheduled
2026-09-26,Long-Form Video (Clinical Deep Dive),Echolalia & Gestalt Language: Cartoon Dialogues Repeat Kyu Karte Hain?,Echolalia & Gestalt Language: Cartoon Dialogues Repeat Kyu Karte Hain? | Autism Alliance India,Bachha cartoon dialogues bolta hai lekin 'Mamma' nahi kehta: Kya ye meaningful speech hai?,Dr. Atul Madaan & Lead SLP,15:30,High (Search),echolalia in autism hindi,Scripting Is Speech!,DM 'GESTALT' for language guide,"Short-13, Short-14, Short-15",Self (Anchor),Approved,Scheduled
2026-09-27,YouTube Short (Sunday Parent Empathy),Parent Motivation & Emotional Reassurance,To The Mother Comparing Growth Charts at the Park... Listen To This #Shorts #AutismParenting,Park me dusre bachhon ko dekh kar agar aapka dil baith jaata hai... toh ek gehri saans lijiye.,Dr. Atul Madaan,0:40,High (Emotional Browse),autism parent emotional support,Take a Deep Breath,Share this with an exhausted mother,Native Studio Shoot,"Self-Hitting, Head Banging & Aggression: Parents Kaise Respond Karein?",Approved,Scheduled
2026-09-28,YouTube Short (Gappu & Dolly Animated),"Animated Empathy: Self-Hitting, Head Banging & Aggression",Gappu Ko Mixer Ki Awaaz Itni Loud Kyun Lagi? #GappuDolly #autismselfhittingsolutions,"Dolly, jab mixer chalti hai toh Kabir kaan kyu band kar leta hai?",Gappu & Dolly (Animated),0:35,High (Discovery),autism self hitting solutions,Mixer Se Darr Kyu?,Watch full video linked below,N/A (Native),"Self-Hitting, Head Banging & Aggression: Parents Kaise Respond Karein?",Approved,Scheduled
2026-09-29,YouTube Short (Tactical Doctor/Therapist),"Quick Insight: Self-Hitting, Head Banging & Aggression",Speech Delay vs Autism: 1 Simple Observation Jo 90% Parents Miss Karte Hain! #Shorts,"Agar aapka 2 saal ka bachha bolta nahi hai, toh sabse pehle ye ek cheez check kijiye...",Dr. Atul Madaan,0:42,High (Shorts Feed),autism self hitting solutions,Missed Sign!,Full explanation in linked video,Extracted from Long-Form,"Self-Hitting, Head Banging & Aggression: Parents Kaise Respond Karein?",Approved,Scheduled
2026-09-30,Long-Form Video (Masterclass),"Self-Hitting, Head Banging & Aggression: Parents Kaise Respond Karein?","Self-Hitting, Head Banging & Aggression: Parents Kaise Respond Karein? | Complete Guide by Dr. Atul Madaan","Jab bachha gusse me khud ko maarta hai, toh daantne ki jagah clinical step kya hai?",Dr. Atul Madaan,18:15,High (Urgent),autism self hitting solutions,Head Banging: Stop It Calmly,Call Autism Alliance Emergency Helpline,"Short-16, Short-17, Short-18",Self (Anchor),Approved,Scheduled
2026-10-01,YouTube Short (Parent Q&A),"Parent FAQ: Autism or ADHD? Signs, Overlaps & Farak | Complete Diagnosis Guide",Kya Hand Flapping Ko Rokna Chahiye? Doctor Explains #Shorts #AutismIndia,"Parent ne pucha: 'Sir, mera beta khushi me hath hilata hai, kya ye normal hai?'",Dr. Atul Madaan,0:38,Medium (Shorts),hand flapping in autism,Stop Flapping?,Subscribe & watch related masterclass,Extracted from Long-Form,"Autism or ADHD? Signs, Overlaps & Farak | Complete Diagnosis Guide",Approved,Scheduled
2026-10-02,YouTube Short (Therapist Demonstration),Sensory Gym / OT Demonstration,Inside Our East of Kailash Sensory Gym: Swings Therapy Kyu Hoti Hain? #Shorts,Ye platform swing playground ka jhoola nahi hai... ye inner ear balance exercise hai!,Lead Occupational Therapist (Autism Alliance),0:45,High (Visual),occupational therapy sensory gym,Sensory Gym Secret,"Visit Delhi, Faridabad, Ludhiana centres",Native Clinic Shoot,"Autism or ADHD? Signs, Overlaps & Farak | Complete Diagnosis Guide",Approved,Scheduled
2026-10-03,Podcast / In-Depth Conversation,Autism Alliance Podcast Series,"Living with Autism in India: School Admissions, Therapy Costs & Grandparents | Dr. Atul Madaan Ep 2",Ek aam Indian family autism diagnosis ke baad pehle 6 mahine me kin mushkilon se guzarti hai?,Dr. Atul Madaan with Guest Senior Paediatrician,32:15,High (Browse / Authority),autism podcast india,The Real Struggle,Comment your biggest challenge below,"Podcast Short 1, 2, 3",Self (Anchor),Approved,Scheduled
2026-10-04,YouTube Live (Parent Interactive Q&A),Live Parent Clinic & Consultation,"Live Sunday Clinic: Ask Dr. Atul Madaan Anything on Speech, Behavior & Meltdowns (Live Q&A Ep 4)",Aaj sham 5 baje live judein aur apne bachhe ke behavioral challenges par seedha consult karein.,Dr. Atul Madaan,55:00,High (Community / Live),autism live question answer,LIVE Q&A with Dr. Atul,Ask your question in Live Chat / Super Chat,Live Clips 1 & 2,Self (Anchor),Approved,Scheduled
2026-10-05,YouTube Short (Gappu & Dolly Animated),"Animated Empathy: Autism or ADHD? Signs, Overlaps & Farak | Complete Diagnosis Guide",Gappu Ko Mixer Ki Awaaz Itni Loud Kyun Lagi? #GappuDolly #autismvsadhdfarakhindi,"Dolly, jab mixer chalti hai toh Kabir kaan kyu band kar leta hai?",Gappu & Dolly (Animated),0:35,High (Discovery),autism vs adhd farak hindi,Mixer Se Darr Kyu?,Watch full video linked below,N/A (Native),"Autism or ADHD? Signs, Overlaps & Farak | Complete Diagnosis Guide",Approved,Scheduled
2026-10-06,YouTube Short (Tactical Doctor/Therapist),"Quick Insight: Autism or ADHD? Signs, Overlaps & Farak | Complete Diagnosis Guide",Speech Delay vs Autism: 1 Simple Observation Jo 90% Parents Miss Karte Hain! #Shorts,"Agar aapka 2 saal ka bachha bolta nahi hai, toh sabse pehle ye ek cheez check kijiye...",Dr. Atul Madaan,0:42,High (Shorts Feed),autism vs adhd farak hindi,Missed Sign!,Full explanation in linked video,Extracted from Long-Form,"Autism or ADHD? Signs, Overlaps & Farak | Complete Diagnosis Guide",Approved,Scheduled
2026-10-07,Long-Form Video (Masterclass),"Autism or ADHD? Signs, Overlaps & Farak | Complete Diagnosis Guide","Autism or ADHD? Signs, Overlaps & Farak | Complete Diagnosis Guide | Complete Guide by Dr. Atul Madaan",Hyperactive bachha restless hai ya sensory seeking? Autism aur ADHD ka clear farak.,Dr. Atul Madaan,16:00,High (Search),autism vs adhd farak hindi,Autism OR ADHD?,Take our early developmental screening,"Short-19, Short-20, Short-21",Self (Anchor),Approved,Scheduled
2026-10-08,YouTube Short (Parent Q&A),Parent FAQ: Why 'Wait and Watch' Fails,Kya Hand Flapping Ko Rokna Chahiye? Doctor Explains #Shorts #AutismIndia,"Parent ne pucha: 'Sir, mera beta khushi me hath hilata hai, kya ye normal hai?'",Dr. Atul Madaan,0:38,Medium (Shorts),hand flapping in autism,Stop Flapping?,Subscribe & watch related masterclass,Extracted from Long-Form,Why 'Wait and Watch' Fails: The 18M to 4Y Golden Early Intervention Window,Approved,Scheduled
2026-10-09,YouTube Short (Therapist Demonstration),Sensory Gym / OT Demonstration,Inside Our East of Kailash Sensory Gym: Swings Therapy Kyu Hoti Hain? #Shorts,Ye platform swing playground ka jhoola nahi hai... ye inner ear balance exercise hai!,Lead Occupational Therapist (Autism Alliance),0:45,High (Visual),occupational therapy sensory gym,Sensory Gym Secret,"Visit Delhi, Faridabad, Ludhiana centres",Native Clinic Shoot,Why 'Wait and Watch' Fails: The 18M to 4Y Golden Early Intervention Window,Approved,Scheduled
2026-10-10,Long-Form Video (Clinical Deep Dive),Why 'Wait and Watch' Fails: The 18M to 4Y Golden Early Intervention Window,Why 'Wait and Watch' Fails: The 18M to 4Y Golden Early Intervention Window | Autism Alliance India,"Jab log kahein 'wait karo, ladke der se bolte hain', toh kitna bada risk ho sakta hai?",Dr. Atul Madaan,14:40,High (Browse),early intervention autism benefits,Don't Wait Till Age 5,Download Milestone Checklist,"Short-22, Short-23, Short-24",Self (Anchor),Approved,Scheduled
2026-10-11,YouTube Short (Sunday Parent Empathy),Parent Motivation & Emotional Reassurance,To The Mother Comparing Growth Charts at the Park... Listen To This #Shorts #AutismParenting,Park me dusre bachhon ko dekh kar agar aapka dil baith jaata hai... toh ek gehri saans lijiye.,Dr. Atul Madaan,0:40,High (Emotional Browse),autism parent emotional support,Take a Deep Breath,Share this with an exhausted mother,Native Studio Shoot,Selective Eating & Food Refusal: Texture Sensitivity Solutions for Parents,Approved,Scheduled
2026-10-12,YouTube Short (Gappu & Dolly Animated),Animated Empathy: Selective Eating & Food Refusal,Gappu Ko Mixer Ki Awaaz Itni Loud Kyun Lagi? #GappuDolly #autismpickyeatingremedies,"Dolly, jab mixer chalti hai toh Kabir kaan kyu band kar leta hai?",Gappu & Dolly (Animated),0:35,High (Discovery),autism picky eating remedies,Mixer Se Darr Kyu?,Watch full video linked below,N/A (Native),Selective Eating & Food Refusal: Texture Sensitivity Solutions for Parents,Approved,Scheduled
2026-10-13,YouTube Short (Tactical Doctor/Therapist),Quick Insight: Selective Eating & Food Refusal,Speech Delay vs Autism: 1 Simple Observation Jo 90% Parents Miss Karte Hain! #Shorts,"Agar aapka 2 saal ka bachha bolta nahi hai, toh sabse pehle ye ek cheez check kijiye...",Dr. Atul Madaan,0:42,High (Shorts Feed),autism picky eating remedies,Missed Sign!,Full explanation in linked video,Extracted from Long-Form,Selective Eating & Food Refusal: Texture Sensitivity Solutions for Parents,Approved,Scheduled
2026-10-14,Long-Form Video (Masterclass),Selective Eating & Food Refusal: Texture Sensitivity Solutions for Parents,Selective Eating & Food Refusal: Texture Sensitivity Solutions for Parents | Complete Guide by Dr. Atul Madaan,Dal aur chawal touch hote hi ulti aati hai? Autistic kids ke mealtime battles ka solution.,Dr. Atul Madaan & Lead OT,13:20,High (Search),autism picky eating remedies,Picky Eater Fix,Download 5-Step Texture Desensitization PDF,"Short-25, Short-26, Short-27",Self (Anchor),Approved,Scheduled
2026-10-15,YouTube Short (Parent Q&A),Parent FAQ: Potty Training for Special Needs Children,Kya Hand Flapping Ko Rokna Chahiye? Doctor Explains #Shorts #AutismIndia,"Parent ne pucha: 'Sir, mera beta khushi me hath hilata hai, kya ye normal hai?'",Dr. Atul Madaan,0:38,Medium (Shorts),hand flapping in autism,Stop Flapping?,Subscribe & watch related masterclass,Extracted from Long-Form,Potty Training for Special Needs Children: The Interoception Breakthrough,Approved,Scheduled
2026-10-16,YouTube Short (Therapist Demonstration),Sensory Gym / OT Demonstration,Inside Our East of Kailash Sensory Gym: Swings Therapy Kyu Hoti Hain? #Shorts,Ye platform swing playground ka jhoola nahi hai... ye inner ear balance exercise hai!,Lead Occupational Therapist (Autism Alliance),0:45,High (Visual),occupational therapy sensory gym,Sensory Gym Secret,"Visit Delhi, Faridabad, Ludhiana centres",Native Clinic Shoot,Potty Training for Special Needs Children: The Interoception Breakthrough,Approved,Scheduled
2026-10-17,Podcast / In-Depth Conversation,Autism Alliance Podcast Series,"Living with Autism in India: School Admissions, Therapy Costs & Grandparents | Dr. Atul Madaan Ep 3",Ek aam Indian family autism diagnosis ke baad pehle 6 mahine me kin mushkilon se guzarti hai?,Dr. Atul Madaan with Guest Senior Paediatrician,32:15,High (Browse / Authority),autism podcast india,The Real Struggle,Comment your biggest challenge below,"Podcast Short 1, 2, 3",Self (Anchor),Approved,Scheduled
2026-10-18,YouTube Live (Parent Interactive Q&A),Live Parent Clinic & Consultation,"Live Sunday Clinic: Ask Dr. Atul Madaan Anything on Speech, Behavior & Meltdowns (Live Q&A Ep 6)",Aaj sham 5 baje live judein aur apne bachhe ke behavioral challenges par seedha consult karein.,Dr. Atul Madaan,55:00,High (Community / Live),autism live question answer,LIVE Q&A with Dr. Atul,Ask your question in Live Chat / Super Chat,Live Clips 1 & 2,Self (Anchor),Approved,Scheduled
2026-10-19,YouTube Short (Gappu & Dolly Animated),Animated Empathy: Potty Training for Special Needs Children,Gappu Ko Mixer Ki Awaaz Itni Loud Kyun Lagi? #GappuDolly #autismpottytraininghindi,"Dolly, jab mixer chalti hai toh Kabir kaan kyu band kar leta hai?",Gappu & Dolly (Animated),0:35,High (Discovery),autism potty training hindi,Mixer Se Darr Kyu?,Watch full video linked below,N/A (Native),Potty Training for Special Needs Children: The Interoception Breakthrough,Approved,Scheduled
2026-10-20,YouTube Short (Tactical Doctor/Therapist),Quick Insight: Potty Training for Special Needs Children,Speech Delay vs Autism: 1 Simple Observation Jo 90% Parents Miss Karte Hain! #Shorts,"Agar aapka 2 saal ka bachha bolta nahi hai, toh sabse pehle ye ek cheez check kijiye...",Dr. Atul Madaan,0:42,High (Shorts Feed),autism potty training hindi,Missed Sign!,Full explanation in linked video,Extracted from Long-Form,Potty Training for Special Needs Children: The Interoception Breakthrough,Approved,Scheduled
2026-10-21,Long-Form Video (Masterclass),Potty Training for Special Needs Children: The Interoception Breakthrough,Potty Training for Special Needs Children: The Interoception Breakthrough | Complete Guide by Dr. Atul Madaan,4 saal ka ho gaya par toilet awareness nahi aayi? Janie 8th sense ka secret.,Dr. Atul Madaan,17:10,High (Search),autism potty training hindi,Potty Training Masterclass,Join our Parent Training Program,"Short-28, Short-29, Short-30",Self (Anchor),Approved,Scheduled
2026-10-22,YouTube Short (Parent Q&A),Parent FAQ: Did Screen Time Cause Your Child's Autism? Separating Guilt From Medical Science,Kya Hand Flapping Ko Rokna Chahiye? Doctor Explains #Shorts #AutismIndia,"Parent ne pucha: 'Sir, mera beta khushi me hath hilata hai, kya ye normal hai?'",Dr. Atul Madaan,0:38,Medium (Shorts),hand flapping in autism,Stop Flapping?,Subscribe & watch related masterclass,Extracted from Long-Form,Did Screen Time Cause Your Child's Autism? Separating Guilt From Medical Science,Approved,Scheduled
2026-10-23,YouTube Short (Therapist Demonstration),Sensory Gym / OT Demonstration,Inside Our East of Kailash Sensory Gym: Swings Therapy Kyu Hoti Hain? #Shorts,Ye platform swing playground ka jhoola nahi hai... ye inner ear balance exercise hai!,Lead Occupational Therapist (Autism Alliance),0:45,High (Visual),occupational therapy sensory gym,Sensory Gym Secret,"Visit Delhi, Faridabad, Ludhiana centres",Native Clinic Shoot,Did Screen Time Cause Your Child's Autism? Separating Guilt From Medical Science,Approved,Scheduled
2026-10-24,Long-Form Video (Clinical Deep Dive),Did Screen Time Cause Your Child's Autism? Separating Guilt From Medical Science,Did Screen Time Cause Your Child's Autism? Separating Guilt From Medical Science | Autism Alliance India,"Mothers ko blame karna band karein: Phones delay la sakte hain, par genetics autism.",Dr. Atul Madaan,15:45,High (Browse),screen time autism truth,Phone Blame Busted!,Share with guilty mothers,"Short-31, Short-32, Short-33",Self (Anchor),Approved,Scheduled
2026-10-25,YouTube Short (Sunday Parent Empathy),Parent Motivation & Emotional Reassurance,To The Mother Comparing Growth Charts at the Park... Listen To This #Shorts #AutismParenting,Park me dusre bachhon ko dekh kar agar aapka dil baith jaata hai... toh ek gehri saans lijiye.,Dr. Atul Madaan,0:40,High (Emotional Browse),autism parent emotional support,Take a Deep Breath,Share this with an exhausted mother,Native Studio Shoot,The 3-Month Parent Training Model: Why Parents Are The Real Therapists,Approved,Scheduled
2026-10-26,YouTube Short (Gappu & Dolly Animated),Animated Empathy: The 3-Month Parent Training Model,Gappu Ko Mixer Ki Awaaz Itni Loud Kyun Lagi? #GappuDolly #parentmediatedautismtherapy,"Dolly, jab mixer chalti hai toh Kabir kaan kyu band kar leta hai?",Gappu & Dolly (Animated),0:35,High (Discovery),parent mediated autism therapy,Mixer Se Darr Kyu?,Watch full video linked below,N/A (Native),The 3-Month Parent Training Model: Why Parents Are The Real Therapists,Approved,Scheduled
2026-10-27,YouTube Short (Tactical Doctor/Therapist),Quick Insight: The 3-Month Parent Training Model,Speech Delay vs Autism: 1 Simple Observation Jo 90% Parents Miss Karte Hain! #Shorts,"Agar aapka 2 saal ka bachha bolta nahi hai, toh sabse pehle ye ek cheez check kijiye...",Dr. Atul Madaan,0:42,High (Shorts Feed),parent mediated autism therapy,Missed Sign!,Full explanation in linked video,Extracted from Long-Form,The 3-Month Parent Training Model: Why Parents Are The Real Therapists,Approved,Scheduled
2026-10-28,Long-Form Video (Masterclass),The 3-Month Parent Training Model: Why Parents Are The Real Therapists,The 3-Month Parent Training Model: Why Parents Are The Real Therapists | Complete Guide by Dr. Atul Madaan,Clinic ke 1 ghante se progress aayegi ya ghar ke 23 ghanton se? Autism Alliance model.,Dr. Atul Madaan,16:30,High (Authority),parent mediated autism therapy,Parents Are Real Therapists,Apply for 3-Month PTP Batch,"Short-34, Short-35, Short-36",Self (Anchor),Approved,Scheduled
2026-10-29,YouTube Short (Parent Q&A),Parent FAQ: Speech Delay vs Autism,Kya Hand Flapping Ko Rokna Chahiye? Doctor Explains #Shorts #AutismIndia,"Parent ne pucha: 'Sir, mera beta khushi me hath hilata hai, kya ye normal hai?'",Dr. Atul Madaan,0:38,Medium (Shorts),hand flapping in autism,Stop Flapping?,Subscribe & watch related masterclass,Extracted from Long-Form,Speech Delay vs Autism: Farak Kaise Pehchaanein? | Clinical Guide,Approved,Scheduled
2026-10-30,YouTube Short (Therapist Demonstration),Sensory Gym / OT Demonstration,Inside Our East of Kailash Sensory Gym: Swings Therapy Kyu Hoti Hain? #Shorts,Ye platform swing playground ka jhoola nahi hai... ye inner ear balance exercise hai!,Lead Occupational Therapist (Autism Alliance),0:45,High (Visual),occupational therapy sensory gym,Sensory Gym Secret,"Visit Delhi, Faridabad, Ludhiana centres",Native Clinic Shoot,Speech Delay vs Autism: Farak Kaise Pehchaanein? | Clinical Guide,Approved,Scheduled
2026-10-31,Podcast / In-Depth Conversation,Autism Alliance Podcast Series,"Living with Autism in India: School Admissions, Therapy Costs & Grandparents | Dr. Atul Madaan Ep 4",Ek aam Indian family autism diagnosis ke baad pehle 6 mahine me kin mushkilon se guzarti hai?,Dr. Atul Madaan with Guest Senior Paediatrician,32:15,High (Browse / Authority),autism podcast india,The Real Struggle,Comment your biggest challenge below,"Podcast Short 1, 2, 3",Self (Anchor),Approved,Scheduled
